<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PHC,20091105,12.83,13.72,10.33,12.47,152500,36.00,38.50,29.00,35.00,0,0,0
PHC,20091106,13.54,13.54,12.65,13.01,44700,38.00,38.00,35.50,36.50,17000,0,0
PHC,20091109,14.19,14.19,12.51,12.83,43200,39.80,39.80,35.10,36.00,0,0,0
PHC,20091110,13.72,13.72,12.12,13.12,43700,38.50,38.50,34.00,36.80,0,0,0
PHC,20091111,12.94,12.94,12.05,12.05,30100,36.30,36.30,33.80,33.80,0,0,0
PHC,20091112,11.37,12.19,11.37,11.37,11200,31.90,34.20,31.90,31.90,0,0,0
PHC,20091113,10.62,11.41,10.62,11.37,57900,29.80,32.00,29.80,31.90,0,0,0
PHC,20091116,11.37,11.51,11.37,11.51,20100,31.90,32.30,31.90,32.30,0,0,0
PHC,20091117,11.76,12.29,11.76,12.12,21500,33.00,34.50,33.00,34.00,0,0,0
PHC,20091118,12.19,12.19,11.26,11.26,12000,34.20,34.20,31.60,31.60,0,0,0
PHC,20091119,10.73,11.08,10.65,10.66,27400,30.10,31.10,29.90,29.90,0,0,0
PHC,20091120,11.05,11.05,10.09,10.12,11600,31.00,31.00,28.30,28.40,0,0,0
PHC,20091123,11.15,11.15,10.19,10.19,2800,31.30,31.30,28.60,28.60,0,0,0
PHC,20091124,10.15,10.69,10.15,10.69,12000,28.50,30.00,28.50,30.00,0,0,0
PHC,20091125,10.69,11.05,9.76,9.77,24800,30.00,31.00,27.40,27.40,0,0,0
PHC,20091126,9.63,9.63,9.41,9.41,18400,27.00,27.00,26.40,26.40,0,0,0
PHC,20091127,8.80,9.62,8.80,8.84,19100,24.70,27.00,24.70,24.80,0,1000,0
PHC,20091130,9.62,9.73,9.16,9.73,10700,27.00,27.30,25.70,27.30,0,0,0
PHC,20091201,9.80,10.30,9.80,10.30,26400,27.50,28.90,27.50,28.90,0,0,0
PHC,20091202,10.34,10.69,9.98,9.98,6200,29.00,30.00,28.00,28.00,420000,0,0
PHC,20091203,9.69,9.69,9.69,9.69,9500,27.20,27.20,27.20,27.20,0,0,0
PHC,20091204,10.15,10.15,9.62,9.62,2100,28.50,28.50,27.00,27.00,0,0,0
PHC,20091207,9.98,9.98,9.91,9.91,3200,28.00,28.00,27.80,27.80,0,0,0
PHC,20091208,10.16,10.16,9.30,9.80,6400,28.50,28.50,26.10,27.50,0,0,0
PHC,20091209,9.09,9.09,8.87,8.87,24600,25.50,25.50,24.90,24.90,0,0,0
PHC,20091210,8.83,8.83,8.37,8.55,11400,24.80,24.80,23.50,24.00,0,0,0
PHC,20091211,8.19,8.27,7.94,7.95,25400,23.00,23.20,22.30,22.30,0,0,0
PHC,20091214,8.48,8.48,8.20,8.20,20900,23.80,23.80,23.00,23.00,0,0,0
PHC,20091215,8.34,8.38,8.31,8.38,6500,23.40,23.50,23.30,23.50,0,0,0
PHC,20091216,8.38,8.59,8.38,8.59,22000,23.50,24.10,23.50,24.10,0,0,0
