<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PNC,20050711,7.83,7.83,7.83,7.83,11430,16.00,16.00,16.00,16.00,0,0,0
PNC,20050712,7.83,8.07,7.83,8.08,20190,16.00,16.50,16.00,16.50,0,0,0
PNC,20050713,8.37,8.47,8.37,8.47,47680,17.10,17.30,17.10,17.30,0,0,0
PNC,20050714,8.57,8.57,8.47,8.47,40380,17.50,17.50,17.30,17.30,0,0,0
PNC,20050715,8.47,8.57,8.47,8.57,31870,17.30,17.50,17.30,17.50,0,0,0
PNC,20050718,8.57,8.57,8.57,8.57,27440,17.50,17.50,17.50,17.50,0,0,0
PNC,20050719,8.52,8.52,8.52,8.52,11750,17.40,17.40,17.40,17.40,0,0,0
PNC,20050720,8.47,8.47,8.37,8.37,11460,17.30,17.30,17.10,17.10,0,0,0
PNC,20050721,8.32,8.32,8.27,8.27,12580,17.00,17.00,16.90,16.90,0,0,0
PNC,20050722,8.07,8.07,8.03,8.03,43130,16.50,16.50,16.40,16.40,0,0,0
PNC,20050725,8.03,8.32,8.03,8.32,11840,16.40,17.00,16.40,17.00,0,0,0
PNC,20050726,8.32,8.32,8.22,8.22,1740,17.00,17.00,16.80,16.80,0,0,0
PNC,20050727,8.22,8.22,8.22,8.22,1000,16.80,16.80,16.80,16.80,0,0,0
PNC,20050728,7.98,8.02,7.98,8.03,9610,16.30,16.40,16.30,16.40,0,0,0
PNC,20050729,8.03,8.03,8.03,8.03,1200,16.40,16.40,16.40,16.40,0,0,0
PNC,20050801,8.08,8.13,8.08,8.12,1890,16.50,16.60,16.50,16.60,0,0,0
PNC,20050802,8.12,8.12,8.12,8.12,1350,16.60,16.60,16.60,16.60,0,0,0
PNC,20050803,8.12,8.27,8.12,8.27,9660,16.60,16.90,16.60,16.90,0,0,0
PNC,20050804,8.37,8.47,8.37,8.47,4590,17.10,17.30,17.10,17.30,0,0,0
PNC,20050805,8.57,8.57,8.32,8.32,17010,17.50,17.50,17.00,17.00,0,0,0
PNC,20050808,8.32,8.32,8.27,8.27,2920,17.00,17.00,16.90,16.90,0,0,0
PNC,20050809,8.27,8.27,8.22,8.22,2700,16.90,16.90,16.80,16.80,0,0,0
PNC,20050810,8.17,8.22,8.17,8.22,2890,16.70,16.80,16.70,16.80,0,0,0
PNC,20050811,8.42,8.42,8.37,8.37,10810,17.20,17.20,17.10,17.10,0,0,0
PNC,20050812,8.37,8.37,8.32,8.32,2300,17.10,17.10,17.00,17.00,0,0,0
PNC,20050815,8.27,8.27,8.17,8.17,8450,16.90,16.90,16.70,16.70,0,0,0
PNC,20050816,8.07,8.07,8.07,8.08,14960,16.50,16.50,16.50,16.50,0,0,0
PNC,20050817,8.33,8.33,8.23,8.23,10630,16.40,16.40,16.20,16.20,0,0,0
PNC,20050818,8.23,8.23,8.13,8.13,5700,16.20,16.20,16.00,16.00,0,0,0
PNC,20050819,8.23,8.23,8.18,8.18,2300,16.20,16.20,16.10,16.10,0,0,0
PNC,20050822,8.33,8.33,8.28,8.28,3030,16.40,16.40,16.30,16.30,0,0,0
PNC,20050823,8.33,8.33,8.23,8.23,11120,16.40,16.40,16.20,16.20,0,0,0
PNC,20050824,8.13,8.13,8.13,8.13,570,16.00,16.00,16.00,16.00,0,0,0
PNC,20050825,8.13,8.18,8.13,8.18,1160,16.00,16.10,16.00,16.10,0,0,0
PNC,20050826,8.23,8.23,8.18,8.18,500,16.20,16.20,16.10,16.10,0,0,0
PNC,20050829,8.13,8.13,8.13,8.13,11880,16.00,16.00,16.00,16.00,0,0,0
PNC,20050830,8.13,8.13,8.13,8.13,6700,16.00,16.00,16.00,16.00,0,0,0
PNC,20050831,8.13,8.13,8.13,8.13,3340,16.00,16.00,16.00,16.00,0,0,0
PNC,20050901,8.13,8.13,8.08,8.08,10500,16.00,16.00,15.90,15.90,0,0,0
PNC,20050905,8.08,8.08,7.93,7.92,4720,15.90,15.90,15.60,15.60,0,0,0
PNC,20050906,7.92,7.92,7.87,7.87,14680,15.60,15.60,15.50,15.50,0,0,0
PNC,20050907,7.92,8.02,7.92,8.02,4690,15.60,15.80,15.60,15.80,0,0,0
PNC,20050908,8.07,8.07,8.07,8.08,8670,15.90,15.90,15.90,15.90,0,0,0
PNC,20050909,8.08,8.08,7.98,7.97,7380,15.90,15.90,15.70,15.70,0,0,0
PNC,20050912,7.87,7.87,7.87,7.87,2060,15.50,15.50,15.50,15.50,0,0,0
PNC,20050913,7.97,7.97,7.87,7.87,2410,15.70,15.70,15.50,15.50,0,0,0
PNC,20050914,7.87,7.87,7.87,7.87,13360,15.50,15.50,15.50,15.50,0,0,0
PNC,20050915,7.87,7.87,7.87,7.87,5460,15.50,15.50,15.50,15.50,0,0,0
PNC,20050916,7.82,7.87,7.82,7.87,4550,15.40,15.50,15.40,15.50,0,0,0
PNC,20050919,7.87,7.97,7.87,7.97,4250,15.50,15.70,15.50,15.70,0,0,0
PNC,20050920,8.33,8.33,8.33,8.33,5860,16.40,16.40,16.40,16.40,0,0,0
PNC,20050921,8.63,8.63,8.38,8.38,19610,17.00,17.00,16.50,16.50,0,0,0
PNC,20050922,8.38,8.38,8.38,8.38,7910,16.50,16.50,16.50,16.50,0,0,0
PNC,20050923,8.38,8.38,8.38,8.38,10370,16.50,16.50,16.50,16.50,0,0,0
PNC,20050926,8.38,8.38,8.28,8.28,8030,16.50,16.50,16.30,16.30,0,0,0
PNC,20050927,8.13,8.13,8.13,8.13,3070,16.00,16.00,16.00,16.00,0,0,0
PNC,20050928,8.33,8.33,8.13,8.13,19750,16.40,16.40,16.00,16.00,0,0,0
PNC,20050929,8.13,8.13,8.13,8.13,7000,16.00,16.00,16.00,16.00,0,0,0
PNC,20050930,8.54,8.54,8.54,8.53,32490,16.80,16.80,16.80,16.80,0,0,0
PNC,20051003,8.53,8.53,8.53,8.53,7700,16.80,16.80,16.80,16.80,0,0,0
PNC,20051004,8.38,8.38,8.38,8.38,3290,16.50,16.50,16.50,16.50,0,0,0
PNC,20051005,8.38,8.38,8.23,8.23,7520,16.50,16.50,16.20,16.20,0,0,0
PNC,20051006,8.23,8.28,8.23,8.28,4580,16.20,16.30,16.20,16.30,0,0,0
PNC,20051007,8.28,8.38,8.28,8.38,5250,16.30,16.50,16.30,16.50,0,0,0
PNC,20051010,8.38,8.38,8.38,8.38,10910,16.50,16.50,16.50,16.50,0,0,0
PNC,20051011,8.43,8.43,8.33,8.33,18190,16.60,16.60,16.40,16.40,0,0,0
PNC,20051012,8.13,8.13,8.13,8.13,4190,16.00,16.00,16.00,16.00,0,0,0
PNC,20051013,8.23,8.23,8.23,8.23,6690,16.20,16.20,16.20,16.20,0,0,0
PNC,20051014,8.33,8.33,8.33,8.33,17160,16.40,16.40,16.40,16.40,0,0,0
PNC,20051017,8.33,8.33,8.33,8.33,29230,16.40,16.40,16.40,16.40,0,0,0
PNC,20051018,8.33,8.33,8.33,8.33,28920,16.40,16.40,16.40,16.40,0,0,0
PNC,20051019,8.23,8.33,8.23,8.33,18220,16.20,16.40,16.20,16.40,0,0,0
PNC,20051020,8.38,8.38,8.33,8.33,5960,16.50,16.50,16.40,16.40,0,0,0
PNC,20051021,8.33,8.33,8.33,8.33,14460,16.40,16.40,16.40,16.40,0,0,0
PNC,20051024,8.33,8.33,8.33,8.33,14200,16.40,16.40,16.40,16.40,0,0,0
PNC,20051025,8.33,8.33,8.33,8.33,13170,16.40,16.40,16.40,16.40,0,0,0
PNC,20051026,8.33,8.33,8.13,8.13,19030,16.40,16.40,16.00,16.00,0,0,0
PNC,20051027,8.13,8.13,8.03,8.02,26490,16.00,16.00,15.80,15.80,0,0,0
PNC,20051028,8.32,8.32,8.32,8.33,16320,16.40,16.40,16.40,16.40,0,0,0
PNC,20051031,8.33,8.33,8.28,8.28,8890,16.40,16.40,16.30,16.30,0,0,0
PNC,20051101,8.28,8.28,8.28,8.28,19260,16.30,16.30,16.30,16.30,0,0,0
PNC,20051102,8.28,8.28,8.28,8.28,5100,16.30,16.30,16.30,16.30,0,0,0
PNC,20051103,8.13,8.23,8.13,8.23,6360,16.00,16.20,16.00,16.20,0,0,0
PNC,20051104,8.28,8.28,8.18,8.18,7110,16.30,16.30,16.10,16.10,0,0,0
PNC,20051107,8.23,8.23,8.23,8.23,30140,16.20,16.20,16.20,16.20,0,0,0
PNC,20051108,8.23,8.23,8.18,8.18,4760,16.20,16.20,16.10,16.10,0,0,0
PNC,20051109,8.28,8.28,8.23,8.23,4910,16.30,16.30,16.20,16.20,0,0,0
PNC,20051110,8.23,8.23,8.18,8.18,3510,16.20,16.20,16.10,16.10,0,0,0
PNC,20051111,8.33,8.33,8.23,8.23,3510,16.40,16.40,16.20,16.20,0,0,0
PNC,20051114,8.23,8.23,8.23,8.23,21940,16.20,16.20,16.20,16.20,0,0,0
PNC,20051115,8.23,8.23,8.13,8.13,3300,16.20,16.20,16.00,16.00,0,0,0
PNC,20051116,8.28,8.28,8.23,8.23,9100,16.30,16.30,16.20,16.20,0,0,0
PNC,20051117,8.18,8.18,8.18,8.18,470,16.10,16.10,16.10,16.10,0,0,0
PNC,20051118,8.18,8.18,8.13,8.13,4160,16.10,16.10,16.00,16.00,0,0,0
PNC,20051121,8.23,8.33,8.23,8.33,26100,16.20,16.40,16.20,16.40,0,0,0
