<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PSG,20110315,12.13,12.13,7.93,8.40,145700,13.00,13.00,8.50,9.00,0,0,0
PSG,20110316,8.87,8.87,8.40,8.40,93900,9.50,9.50,9.00,9.00,0,0,0
PSG,20110317,8.40,8.49,8.21,8.21,33500,9.00,9.10,8.80,8.80,0,0,0
PSG,20110318,8.30,8.68,8.30,8.68,87500,8.90,9.30,8.90,9.30,0,0,0
PSG,20110321,8.87,9.05,8.87,9.05,68500,9.50,9.70,9.50,9.70,50000,0,0
PSG,20110322,9.05,9.33,8.86,9.24,86200,9.70,10.00,9.50,9.90,18000,0,0
PSG,20110323,9.05,9.15,8.96,9.15,17100,9.70,9.80,9.60,9.80,0,0,0
PSG,20110324,8.96,9.06,8.59,8.77,42400,9.60,9.70,9.20,9.40,0,0,0
PSG,20110325,8.96,9.05,8.77,8.87,26400,9.60,9.70,9.40,9.50,0,0,0
PSG,20110328,8.96,9.06,8.40,8.40,50700,9.60,9.70,9.00,9.00,0,0,0
PSG,20110329,8.49,9.05,8.49,8.77,5300,9.10,9.70,9.10,9.40,0,0,0
PSG,20110330,8.49,8.58,8.49,8.59,20400,9.10,9.20,9.10,9.20,0,0,0
PSG,20110331,8.50,8.87,8.50,8.87,15000,9.10,9.50,9.10,9.50,0,0,0
PSG,20110401,8.40,8.78,8.31,8.31,34500,9.00,9.40,8.90,8.90,0,0,0
PSG,20110404,8.59,8.78,8.40,8.40,24300,9.20,9.40,9.00,9.00,0,200,0
PSG,20110405,8.59,8.59,7.93,8.40,24100,9.20,9.20,8.50,9.00,0,0,0
PSG,20110406,8.50,8.50,8.20,8.20,29800,8.50,8.50,8.20,8.20,0,0,0
PSG,20110407,8.00,8.30,8.00,8.30,26600,8.00,8.30,8.00,8.30,0,0,0
PSG,20110408,7.60,8.00,7.50,8.00,11100,7.60,8.00,7.50,8.00,0,0,0
PSG,20110413,7.20,7.20,7.10,7.10,36000,7.20,7.20,7.10,7.10,0,0,0
PSG,20110414,7.40,7.50,7.40,7.50,4000,7.40,7.50,7.40,7.50,0,0,0
PSG,20110415,7.50,7.90,7.20,7.20,10000,7.50,7.90,7.20,7.20,0,100,0
PSG,20110418,7.90,7.90,7.20,7.20,3200,7.90,7.90,7.20,7.20,0,0,0
PSG,20110419,7.50,7.60,7.20,7.20,2700,7.50,7.60,7.20,7.20,0,0,0
PSG,20110420,7.60,7.70,7.60,7.60,3000,7.60,7.70,7.60,7.60,0,0,0
PSG,20110421,7.60,7.60,7.30,7.50,4400,7.60,7.60,7.30,7.50,0,200,0
PSG,20110422,7.20,7.50,7.20,7.30,25400,7.20,7.50,7.20,7.30,0,0,0
PSG,20110425,7.90,8.00,7.40,7.40,11300,7.90,8.00,7.40,7.40,0,0,0
PSG,20110426,7.30,7.80,7.30,7.60,8400,7.30,7.80,7.30,7.60,0,0,0
PSG,20110427,7.10,7.90,7.10,7.60,2600,7.10,7.90,7.10,7.60,0,0,0
PSG,20110428,7.20,7.90,7.20,7.30,3100,7.20,7.90,7.20,7.30,0,0,0
PSG,20110429,7.00,7.60,7.00,7.20,14200,7.00,7.60,7.00,7.20,0,0,0
PSG,20110504,6.90,7.60,6.90,7.60,1600,6.90,7.60,6.90,7.60,0,0,0
PSG,20110505,7.10,7.50,7.00,7.00,3600,7.10,7.50,7.00,7.00,0,0,0
PSG,20110506,7.40,7.40,7.10,7.10,1200,7.40,7.40,7.10,7.10,0,0,0
PSG,20110509,7.10,7.40,7.00,7.40,13000,7.10,7.40,7.00,7.40,0,0,0
PSG,20110510,6.90,6.90,6.80,6.90,20600,6.90,6.90,6.80,6.90,0,0,0
PSG,20110511,7.00,7.20,7.00,7.20,4700,7.00,7.20,7.00,7.20,0,0,0
PSG,20110512,6.80,6.90,6.80,6.80,3600,6.80,6.90,6.80,6.80,0,0,0
PSG,20110513,6.60,6.90,6.60,6.60,2900,6.60,6.90,6.60,6.60,0,0,0
PSG,20110516,6.90,7.00,6.90,6.90,22000,6.90,7.00,6.90,6.90,0,0,0
PSG,20110517,7.00,7.00,6.70,6.70,3300,7.00,7.00,6.70,6.70,0,0,0
PSG,20110518,6.80,6.80,6.80,6.80,4800,6.80,6.80,6.80,6.80,0,0,0
PSG,20110519,6.40,6.90,6.40,6.90,10600,6.40,6.90,6.40,6.90,0,0,0
PSG,20110520,6.90,6.90,6.90,6.90,1500,6.90,6.90,6.90,6.90,0,0,0
PSG,20110523,6.50,6.50,6.50,6.50,1300,6.50,6.50,6.50,6.50,0,0,0
PSG,20110524,6.50,6.50,6.20,6.20,6100,6.50,6.50,6.20,6.20,0,0,0
PSG,20110526,6.00,6.10,6.00,6.10,13900,6.00,6.10,6.00,6.10,14400,0,0
PSG,20110527,6.10,6.30,5.90,6.00,13400,6.10,6.30,5.90,6.00,16000,0,0
PSG,20110530,6.30,6.40,5.60,5.60,2800,6.30,6.40,5.60,5.60,0,0,0
PSG,20110531,6.40,6.50,5.90,5.90,10500,6.40,6.50,5.90,5.90,0,0,0
PSG,20110601,6.10,6.30,6.10,6.20,2100,6.10,6.30,6.10,6.20,0,0,0
PSG,20110602,6.50,6.50,6.00,6.00,12500,6.50,6.50,6.00,6.00,0,0,0
PSG,20110603,6.50,6.70,6.00,6.00,13300,6.50,6.70,6.00,6.00,0,0,0
PSG,20110606,5.80,6.40,5.70,6.40,13100,5.80,6.40,5.70,6.40,0,0,0
PSG,20110607,6.20,6.20,5.90,6.00,33300,6.20,6.20,5.90,6.00,0,0,0
PSG,20110608,6.30,6.30,5.80,5.80,26100,6.30,6.30,5.80,5.80,0,0,0
PSG,20110609,6.40,6.40,6.40,6.40,15800,6.40,6.40,6.40,6.40,0,0,0
PSG,20110610,6.80,6.80,6.80,6.80,6800,6.80,6.80,6.80,6.80,0,0,0
