<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PSI,20100721,18.74,21.66,17.89,18.55,922900,19.90,23.00,19.00,19.70,0,0,0
PSI,20100722,18.74,19.21,17.70,17.80,566900,19.90,20.40,18.80,18.90,200000,0,0
PSI,20100723,18.08,18.08,16.95,17.04,354300,19.20,19.20,18.00,18.10,60000,200,0
PSI,20100726,16.95,18.17,16.95,17.23,255100,18.00,19.30,18.00,18.30,85000,0,0
PSI,20100727,17.23,17.32,16.19,16.48,395100,18.30,18.40,17.20,17.50,20000,0,0
PSI,20100728,16.10,16.76,16.01,16.20,364100,17.10,17.80,17.00,17.20,0,0,0
PSI,20100729,16.01,16.48,16.01,16.38,255200,17.00,17.50,17.00,17.40,56790,0,0
PSI,20100730,16.66,16.66,16.10,16.67,308000,17.70,17.70,17.10,17.70,0,0,0
PSI,20100802,16.58,17.14,16.39,16.57,351700,17.60,18.20,17.40,17.60,100000,0,0
PSI,20100803,16.95,16.95,15.91,16.01,204800,18.00,18.00,16.90,17.00,13000,0,0
PSI,20100804,16.29,16.39,15.44,15.73,108200,17.30,17.40,16.40,16.70,26900,0,0
PSI,20100805,15.73,15.82,15.07,15.25,105200,16.70,16.80,16.00,16.20,0,0,0
PSI,20100806,15.06,15.34,14.50,14.60,246900,16.00,16.30,15.40,15.50,101000,0,0
PSI,20100809,14.88,14.88,13.85,13.84,183100,15.80,15.80,14.70,14.70,0,0,0
PSI,20100810,14.12,14.69,12.90,13.56,493200,15.00,15.60,13.70,14.40,0,0,0
PSI,20100811,13.84,14.03,13.28,13.65,73100,14.70,14.90,14.10,14.50,0,0,0
PSI,20100812,13.27,13.27,12.80,12.81,228000,14.10,14.10,13.60,13.60,0,0,6000
PSI,20100813,12.90,13.56,12.34,13.18,164800,13.70,14.40,13.10,14.00,0,500,0
PSI,20100816,13.46,13.84,13.18,13.84,283100,14.30,14.70,14.00,14.70,0,0,4300
PSI,20100817,13.75,13.84,13.09,13.56,124100,14.60,14.70,13.90,14.40,0,0,0
PSI,20100818,13.84,13.94,12.81,13.09,61000,14.70,14.80,13.60,13.90,0,0,0
PSI,20100819,13.00,13.09,12.71,12.99,66500,13.80,13.90,13.50,13.80,0,0,0
PSI,20100820,12.80,13.18,12.61,12.90,157500,13.60,14.00,13.40,13.70,0,0,0
PSI,20100823,12.90,12.99,12.62,12.62,93700,13.70,13.80,13.40,13.40,0,3000,0
PSI,20100824,12.43,12.43,11.96,11.96,401100,13.20,13.20,12.70,12.70,0,0,0
PSI,20100825,12.43,12.43,11.30,11.30,609600,13.20,13.20,12.00,12.00,0,0,0
PSI,20100826,11.39,11.87,11.11,11.39,222200,12.10,12.60,11.80,12.10,0,0,0
PSI,20100827,11.77,11.77,11.30,11.58,173500,12.50,12.50,12.00,12.30,0,1500,0
PSI,20100830,11.86,12.24,11.86,12.24,130600,12.60,13.00,12.60,13.00,10000,0,0
PSI,20100831,13.09,13.09,12.62,13.09,212100,13.90,13.90,13.40,13.90,0,0,0
PSI,20100901,13.75,13.84,13.37,13.84,853300,14.60,14.70,14.20,14.70,15000,0,0
PSI,20100906,14.78,14.78,14.78,14.78,66300,15.70,15.70,15.70,15.70,0,0,0
PSI,20100907,15.72,15.72,15.53,15.73,1189800,16.70,16.70,16.50,16.70,0,4000,0
PSI,20100908,16.58,16.67,15.07,15.73,1141100,17.60,17.70,16.00,16.70,0,2000,0
PSI,20100909,15.82,16.48,15.16,15.73,1002200,16.80,17.50,16.10,16.70,0,0,0
PSI,20100910,15.92,16.01,14.88,14.88,701700,16.90,17.00,15.80,15.80,0,0,0
PSI,20100913,14.97,15.54,14.13,14.12,377600,15.90,16.50,15.00,15.00,40000,100,0
PSI,20100914,14.40,14.97,13.74,14.12,485800,15.30,15.90,14.60,15.00,0,0,0
PSI,20100915,13.65,14.12,13.18,13.28,716800,14.50,15.00,14.00,14.10,5000,0,0
PSI,20100916,13.19,14.03,13.19,14.03,449900,14.00,14.90,14.00,14.90,0,0,0
PSI,20100917,14.12,14.69,14.12,14.69,1154000,15.00,15.60,15.00,15.60,0,0,0
PSI,20100920,15.54,15.63,14.69,14.88,798500,16.50,16.60,15.60,15.80,0,0,0
PSI,20100921,14.60,15.07,14.22,14.41,428300,15.50,16.00,15.10,15.30,0,0,0
PSI,20100922,14.50,14.60,14.13,14.41,380500,15.40,15.50,15.00,15.30,0,0,0
PSI,20100923,14.32,14.32,13.66,14.12,434000,15.20,15.20,14.50,15.00,0,0,0
PSI,20100924,14.03,14.40,13.93,14.22,596600,14.90,15.30,14.80,15.10,38500,0,0
PSI,20100927,14.31,14.60,14.03,14.22,282900,15.20,15.50,14.90,15.10,0,0,0
PSI,20100928,14.60,14.88,14.22,14.31,440700,15.50,15.80,15.10,15.20,0,0,0
PSI,20100929,14.12,14.31,13.56,13.56,439000,15.00,15.20,14.40,14.40,35000,0,0
PSI,20100930,13.75,13.94,13.37,13.65,261900,14.60,14.80,14.20,14.50,5000,0,0
