<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PTK,20120925,12.00,14.40,12.00,14.40,10190,12.00,14.40,12.00,14.40,0,0,0
PTK,20120926,15.10,15.10,14.80,15.10,15700,15.10,15.10,14.80,15.10,0,0,0
PTK,20120927,15.60,15.80,14.60,14.60,18310,15.60,15.80,14.60,14.60,0,0,0
PTK,20120928,14.60,14.90,14.50,14.50,18600,14.60,14.90,14.50,14.50,0,0,0
PTK,20121001,15.10,15.20,14.30,15.00,20710,15.10,15.20,14.30,15.00,0,0,0
PTK,20121002,15.70,15.70,15.50,15.70,27940,15.70,15.70,15.50,15.70,0,0,0
PTK,20121003,16.30,16.30,15.70,16.00,24590,16.30,16.30,15.70,16.00,0,0,0
PTK,20121004,16.00,16.70,15.40,16.00,36800,16.00,16.70,15.40,16.00,0,0,0
PTK,20121005,16.10,16.70,15.60,16.10,30100,16.10,16.70,15.60,16.10,0,0,0
PTK,20121008,16.20,16.70,15.80,16.20,28000,16.20,16.70,15.80,16.20,0,0,0
PTK,20121009,15.80,16.30,15.70,16.30,28000,15.80,16.30,15.70,16.30,0,0,0
PTK,20121010,15.90,16.00,15.90,16.00,20730,15.90,16.00,15.90,16.00,0,0,0
PTK,20121011,15.70,16.80,15.60,16.80,37990,15.70,16.80,15.60,16.80,0,0,0
PTK,20121012,16.10,17.30,16.10,16.80,25100,16.10,17.30,16.10,16.80,0,0,0
PTK,20121015,16.80,17.20,16.20,16.20,23670,16.80,17.20,16.20,16.20,0,0,0
PTK,20121016,16.20,16.90,16.00,16.80,33500,16.20,16.90,16.00,16.80,0,0,0
PTK,20121017,16.80,16.80,16.20,16.20,29600,16.80,16.80,16.20,16.20,0,0,0
PTK,20121018,16.20,16.30,15.90,15.90,25200,16.20,16.30,15.90,15.90,0,0,0
PTK,20121019,15.90,15.90,15.20,15.20,26800,15.90,15.90,15.20,15.20,0,0,0
PTK,20121022,15.20,15.80,15.10,15.50,37270,15.20,15.80,15.10,15.50,0,0,0
PTK,20121023,15.50,16.20,15.50,16.20,51500,15.50,16.20,15.50,16.20,0,0,0
PTK,20121024,16.00,16.50,16.00,16.20,28810,16.00,16.50,16.00,16.20,0,0,0
PTK,20121025,16.80,16.80,15.80,15.80,27100,16.80,16.80,15.80,15.80,0,0,0
PTK,20121026,15.80,16.50,15.70,16.50,29100,15.80,16.50,15.70,16.50,0,0,0
PTK,20121029,17.00,17.30,16.80,17.00,89860,17.00,17.30,16.80,17.00,0,0,0
PTK,20121030,17.00,17.40,17.00,17.40,49280,17.00,17.40,17.00,17.40,0,0,0
PTK,20121031,17.50,17.60,17.40,17.50,103060,17.50,17.60,17.40,17.50,0,0,0
PTK,20121101,17.50,17.80,17.40,17.70,42430,17.50,17.80,17.40,17.70,0,0,0
PTK,20121102,17.70,17.70,17.40,17.60,34740,17.70,17.70,17.40,17.60,0,0,0
PTK,20121105,17.40,18.20,17.40,18.00,87290,17.40,18.20,17.40,18.00,0,0,0
PTK,20121106,18.00,18.20,17.80,17.80,62500,18.00,18.20,17.80,17.80,0,0,0
PTK,20121107,17.90,18.20,17.90,18.10,112510,17.90,18.20,17.90,18.10,0,0,0
PTK,20121108,18.10,18.20,18.10,18.20,53700,18.10,18.20,18.10,18.20,0,0,0
PTK,20121109,18.40,18.60,18.30,18.30,106540,18.40,18.60,18.30,18.30,0,0,0
PTK,20121112,18.40,18.60,18.40,18.50,121900,18.40,18.60,18.40,18.50,0,0,0
PTK,20121113,18.50,18.70,18.40,18.40,129790,18.50,18.70,18.40,18.40,0,0,0
PTK,20121114,18.40,18.80,18.40,18.50,133080,18.40,18.80,18.40,18.50,0,0,0
PTK,20121115,18.50,18.50,18.20,18.20,154210,18.50,18.50,18.20,18.20,0,0,0
PTK,20121116,18.30,18.40,18.10,18.10,127300,18.30,18.40,18.10,18.10,0,0,0
PTK,20121119,18.10,18.30,18.00,18.10,129120,18.10,18.30,18.00,18.10,0,0,0
PTK,20121120,18.10,18.30,18.10,18.30,112540,18.10,18.30,18.10,18.30,0,0,0
PTK,20121121,18.30,18.60,17.90,17.90,145260,18.30,18.60,17.90,17.90,0,0,0
PTK,20121122,17.90,17.90,17.80,17.90,128530,17.90,17.90,17.80,17.90,0,0,0
PTK,20121123,17.90,18.00,17.80,17.80,123920,17.90,18.00,17.80,17.80,0,0,0
PTK,20121126,17.80,17.90,17.50,17.60,110050,17.80,17.90,17.50,17.60,0,0,0
PTK,20121127,17.60,17.70,17.10,17.10,134810,17.60,17.70,17.10,17.10,0,0,0
PTK,20121128,17.10,17.20,17.00,17.00,103980,17.10,17.20,17.00,17.00,0,0,0
PTK,20121129,17.00,17.20,17.00,17.10,107140,17.00,17.20,17.00,17.10,0,0,0
PTK,20121130,17.10,17.20,17.10,17.10,105960,17.10,17.20,17.10,17.10,0,0,0
PTK,20121203,17.10,17.50,16.70,16.80,248460,17.10,17.50,16.70,16.80,0,0,0
PTK,20121204,16.70,16.90,16.70,16.70,270910,16.70,16.90,16.70,16.70,0,0,0
PTK,20121205,16.70,16.80,16.60,16.60,251750,16.70,16.80,16.60,16.60,0,0,0
PTK,20121206,16.60,16.70,16.50,16.60,246270,16.60,16.70,16.50,16.60,0,0,0
PTK,20121207,16.60,16.70,16.40,16.40,193620,16.60,16.70,16.40,16.40,0,0,0
PTK,20121210,16.40,17.20,16.40,17.20,150050,16.40,17.20,16.40,17.20,0,0,0
PTK,20121211,17.20,17.30,17.20,17.20,123490,17.20,17.30,17.20,17.20,0,0,0
PTK,20121212,17.20,17.60,17.10,17.60,124370,17.20,17.60,17.10,17.60,0,0,0
PTK,20121213,17.60,17.60,17.50,17.50,104280,17.60,17.60,17.50,17.50,0,0,0
PTK,20121214,17.50,17.70,17.50,17.60,106520,17.50,17.70,17.50,17.60,0,0,0
PTK,20121217,17.80,17.90,17.60,17.70,99900,17.80,17.90,17.60,17.70,0,0,0
PTK,20121218,17.70,17.80,17.60,17.60,113790,17.70,17.80,17.60,17.60,0,0,0
PTK,20121219,17.60,17.90,17.60,17.70,104680,17.60,17.90,17.60,17.70,0,0,0
PTK,20121220,17.70,17.70,17.50,17.50,108130,17.70,17.70,17.50,17.50,0,0,0
PTK,20121221,17.50,17.50,17.20,17.20,109720,17.50,17.50,17.20,17.20,0,0,0
PTK,20121224,17.20,17.30,16.40,16.40,102480,17.20,17.30,16.40,16.40,0,0,0
PTK,20121225,16.40,16.60,15.70,16.60,125670,16.40,16.60,15.70,16.60,0,0,0
PTK,20121226,16.60,16.80,16.60,16.80,108460,16.60,16.80,16.60,16.80,0,0,0
PTK,20121227,16.80,17.10,16.80,17.10,382020,16.80,17.10,16.80,17.10,0,0,0
PTK,20121228,17.10,17.30,16.90,17.20,491330,17.10,17.30,16.90,17.20,0,0,0
PTK,20130102,17.20,18.00,17.20,17.50,90920,17.20,18.00,17.20,17.50,0,0,0
PTK,20130103,17.60,17.60,16.70,16.70,115240,17.60,17.60,16.70,16.70,0,0,0
PTK,20130104,16.70,16.70,15.90,15.90,151810,16.70,16.70,15.90,15.90,0,0,0
PTK,20130107,15.80,15.90,15.20,15.30,216550,15.80,15.90,15.20,15.30,0,0,0
PTK,20130108,14.70,15.70,14.70,15.20,347510,14.70,15.70,14.70,15.20,0,0,0
PTK,20130109,14.50,15.90,14.50,14.50,156270,14.50,15.90,14.50,14.50,0,0,0
PTK,20130110,14.30,15.00,13.80,14.70,162210,14.30,15.00,13.80,14.70,0,0,0
PTK,20130111,14.00,14.00,14.00,14.00,227030,14.00,14.00,14.00,14.00,0,0,0
PTK,20130114,14.00,14.00,13.30,13.50,240500,14.00,14.00,13.30,13.50,0,0,0
PTK,20130115,12.70,13.00,12.60,12.70,275850,12.70,13.00,12.60,12.70,0,0,0
PTK,20130116,12.70,13.40,12.70,12.80,167580,12.70,13.40,12.70,12.80,0,0,0
PTK,20130117,12.80,13.00,12.60,12.70,203330,12.80,13.00,12.60,12.70,0,0,0
PTK,20130118,12.00,13.40,11.90,12.60,412000,12.00,13.40,11.90,12.60,0,0,0
PTK,20130121,12.80,12.80,12.30,12.70,325640,12.80,12.80,12.30,12.70,0,0,0
PTK,20130122,12.70,12.90,12.50,12.80,403090,12.70,12.90,12.50,12.80,0,0,0
PTK,20130123,12.60,13.50,12.50,12.90,366960,12.60,13.50,12.50,12.90,0,0,0
PTK,20130124,12.90,12.90,12.10,12.90,274850,12.90,12.90,12.10,12.90,0,0,0
PTK,20130125,12.30,13.30,12.00,12.60,340590,12.30,13.30,12.00,12.60,0,200,0
PTK,20130128,12.60,13.20,12.40,12.90,268030,12.60,13.20,12.40,12.90,0,0,0
PTK,20130129,12.90,12.90,12.10,12.30,250570,12.90,12.90,12.10,12.30,0,0,0
PTK,20130130,12.30,12.80,12.00,12.50,372350,12.30,12.80,12.00,12.50,0,0,0
PTK,20130131,12.60,12.60,12.00,12.40,357750,12.60,12.60,12.00,12.40,0,0,0
PTK,20130201,12.40,12.50,12.00,12.50,319340,12.40,12.50,12.00,12.50,0,0,0
PTK,20130204,12.50,12.60,12.00,12.40,303620,12.50,12.60,12.00,12.40,0,0,0
PTK,20130205,12.30,12.30,11.90,11.90,238270,12.30,12.30,11.90,11.90,0,0,0
PTK,20130206,11.90,12.30,11.90,12.00,254140,11.90,12.30,11.90,12.00,0,0,0
PTK,20130207,11.20,12.30,11.20,12.00,197510,11.20,12.30,11.20,12.00,0,0,0
PTK,20130208,12.10,12.10,11.90,12.00,184270,12.10,12.10,11.90,12.00,0,0,0
PTK,20130218,12.00,12.20,11.80,11.80,141890,12.00,12.20,11.80,11.80,0,0,0
PTK,20130219,11.90,12.00,11.70,11.90,166810,11.90,12.00,11.70,11.90,0,0,0
PTK,20130220,11.70,12.00,11.60,12.00,189040,11.70,12.00,11.60,12.00,0,0,0
PTK,20130221,11.90,12.10,11.20,11.20,166150,11.90,12.10,11.20,11.20,0,0,0
PTK,20130222,11.20,11.40,10.50,10.50,155100,11.20,11.40,10.50,10.50,0,0,0
PTK,20130225,10.50,10.60,10.50,10.60,140830,10.50,10.60,10.50,10.60,0,0,0
PTK,20130226,10.60,10.60,9.90,9.90,107420,10.60,10.60,9.90,9.90,0,0,0
PTK,20130227,9.90,10.00,9.30,10.00,179900,9.90,10.00,9.30,10.00,0,0,200
PTK,20130228,10.00,10.20,9.80,10.00,121670,10.00,10.20,9.80,10.00,0,0,0
PTK,20130301,10.10,10.10,9.90,10.00,146930,10.10,10.10,9.90,10.00,0,0,0
PTK,20130304,10.00,10.10,9.30,9.30,108140,10.00,10.10,9.30,9.30,0,100,0
PTK,20130305,9.50,9.80,9.40,9.70,141130,9.50,9.80,9.40,9.70,0,0,0
PTK,20130306,9.90,10.30,9.90,10.30,164100,9.90,10.30,9.90,10.30,0,0,0
PTK,20130307,10.50,10.50,10.20,10.30,140740,10.50,10.50,10.20,10.30,0,0,0
PTK,20130308,10.50,10.50,10.40,10.40,132790,10.50,10.50,10.40,10.40,0,0,0
PTK,20130311,10.40,11.10,10.30,11.00,186270,10.40,11.10,10.30,11.00,0,0,0
PTK,20130312,11.00,11.00,10.50,10.90,130910,11.00,11.00,10.50,10.90,0,0,0
PTK,20130313,10.90,10.90,10.60,10.70,113830,10.90,10.90,10.60,10.70,0,0,0
PTK,20130314,10.70,10.80,10.60,10.60,96420,10.70,10.80,10.60,10.60,0,0,0
PTK,20130315,10.60,10.60,10.00,10.00,116800,10.60,10.60,10.00,10.00,0,0,0
PTK,20130318,10.10,10.40,10.00,10.40,113790,10.10,10.40,10.00,10.40,0,0,0
PTK,20130319,10.50,10.50,10.40,10.50,122840,10.50,10.50,10.40,10.50,0,0,0
PTK,20130320,10.70,10.90,10.50,10.70,199590,10.70,10.90,10.50,10.70,0,0,0
PTK,20130321,10.80,11.00,10.80,10.80,124620,10.80,11.00,10.80,10.80,0,0,0
PTK,20130322,10.90,11.10,10.50,10.50,172550,10.90,11.10,10.50,10.50,0,0,0
PTK,20130325,10.50,10.60,10.30,10.50,92750,10.50,10.60,10.30,10.50,0,0,0
PTK,20130326,10.60,10.70,10.00,10.50,351760,10.60,10.70,10.00,10.50,0,0,0
PTK,20130327,10.50,10.60,10.30,10.60,181580,10.50,10.60,10.30,10.60,727100,0,0
PTK,20130328,10.60,10.60,9.90,9.90,87220,10.60,10.60,9.90,9.90,0,0,0
PTK,20130329,9.90,9.90,9.60,9.80,134770,9.90,9.90,9.60,9.80,0,0,0
PTK,20130401,9.80,9.80,9.20,9.80,114480,9.80,9.80,9.20,9.80,0,0,0
PTK,20130402,9.90,9.90,9.80,9.90,70140,9.90,9.90,9.80,9.90,0,0,0
PTK,20130403,10.00,10.00,9.50,9.90,135360,10.00,10.00,9.50,9.90,0,100,0
PTK,20130404,9.90,10.00,9.70,10.00,92510,9.90,10.00,9.70,10.00,0,0,0
PTK,20130405,9.90,10.30,9.90,10.20,121340,9.90,10.30,9.90,10.20,0,0,0
PTK,20130408,10.20,10.50,10.20,10.30,116360,10.20,10.50,10.20,10.30,0,0,0
PTK,20130409,10.30,10.40,10.20,10.30,128400,10.30,10.40,10.20,10.30,0,0,0
PTK,20130410,10.40,10.40,10.20,10.20,99750,10.40,10.40,10.20,10.20,0,0,0
PTK,20130411,10.20,10.30,10.00,10.20,125830,10.20,10.30,10.00,10.20,0,0,0
PTK,20130412,10.20,10.30,9.90,10.00,105960,10.20,10.30,9.90,10.00,0,0,0
PTK,20130415,10.00,10.10,9.80,9.90,113440,10.00,10.10,9.80,9.90,0,0,0
PTK,20130416,9.90,9.90,9.50,9.90,111460,9.90,9.90,9.50,9.90,0,0,0
PTK,20130417,9.90,10.20,9.90,10.10,109970,9.90,10.20,9.90,10.10,0,0,0
PTK,20130418,10.10,10.10,9.80,10.00,135830,10.10,10.10,9.80,10.00,0,0,0
PTK,20130422,10.00,10.10,9.80,10.00,113140,10.00,10.10,9.80,10.00,0,0,0
PTK,20130423,10.00,10.60,9.80,10.50,140710,10.00,10.60,9.80,10.50,0,0,0
PTK,20130424,10.50,10.60,10.00,10.00,89390,10.50,10.60,10.00,10.00,0,0,0
PTK,20130425,10.00,10.60,10.00,10.50,109230,10.00,10.60,10.00,10.50,0,0,0
PTK,20130426,10.50,10.50,10.30,10.40,115770,10.50,10.50,10.30,10.40,0,0,0
PTK,20130502,10.40,10.80,10.40,10.60,112780,10.40,10.80,10.40,10.60,0,0,0
PTK,20130503,10.60,11.00,10.60,10.80,96050,10.60,11.00,10.60,10.80,0,0,0
