<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RIC,20070731,91.37,91.37,91.37,91.37,29170,174.00,174.00,174.00,174.00,0,0,0
RIC,20070801,87.17,91.90,87.17,89.27,45140,166.00,175.00,166.00,170.00,0,0,0
RIC,20070802,89.27,89.27,87.17,87.17,4420,170.00,170.00,166.00,166.00,0,0,0
RIC,20070803,82.97,82.97,82.97,82.97,12670,158.00,158.00,158.00,158.00,0,0,0
RIC,20070806,79.29,79.29,79.29,79.29,6460,151.00,151.00,151.00,151.00,0,0,0
RIC,20070807,75.61,75.61,75.61,75.61,850,144.00,144.00,144.00,144.00,0,0,0
RIC,20070808,71.93,71.93,71.93,71.94,12870,137.00,137.00,137.00,137.00,0,0,0
RIC,20070809,68.79,68.79,68.79,68.79,44980,131.00,131.00,131.00,131.00,0,0,0
RIC,20070810,71.94,71.94,71.94,71.94,132870,137.00,137.00,137.00,137.00,0,0,0
RIC,20070813,70.89,74.57,69.84,72.99,147830,135.00,142.00,133.00,139.00,0,0,0
RIC,20070814,73.52,74.57,73.52,74.04,164610,140.00,142.00,140.00,141.00,0,0,0
RIC,20070815,74.04,74.57,74.04,74.04,95960,141.00,142.00,141.00,141.00,0,0,0
RIC,20070816,72.46,73.51,71.41,71.41,112970,138.00,140.00,136.00,136.00,0,0,0
RIC,20070817,70.88,71.41,69.83,69.84,90630,135.00,136.00,133.00,133.00,0,0,0
RIC,20070820,68.20,69.41,68.20,68.22,59450,112.00,114.00,112.00,112.00,0,0,0
RIC,20070821,67.61,68.22,67.00,68.22,47220,111.00,112.00,110.00,112.00,0,0,0
RIC,20070822,68.83,70.05,68.83,69.44,45140,113.00,115.00,113.00,114.00,0,0,0
RIC,20070823,68.83,69.44,68.83,68.83,14830,113.00,114.00,113.00,113.00,0,0,0
RIC,20070824,68.22,68.83,68.22,68.83,28320,112.00,113.00,112.00,113.00,0,0,0
RIC,20070827,68.83,69.44,68.22,68.22,33780,113.00,114.00,112.00,112.00,0,0,0
RIC,20070828,67.61,68.22,67.00,67.00,29160,111.00,112.00,110.00,110.00,0,0,0
RIC,20070829,67.61,67.61,65.78,66.39,64040,111.00,111.00,108.00,109.00,0,0,0
RIC,20070830,66.39,67.00,66.39,66.39,27600,109.00,110.00,109.00,109.00,0,0,0
RIC,20070831,65.17,66.39,65.17,66.39,36850,107.00,109.00,107.00,109.00,0,0,0
