<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SC5,20071018,73.87,73.87,73.87,73.87,5100,192.00,192.00,192.00,192.00,0,0,0
SC5,20071019,77.33,77.33,77.33,77.33,16630,201.00,201.00,201.00,201.00,0,0,0
SC5,20071022,81.18,81.18,81.18,81.18,78970,211.00,211.00,211.00,211.00,20000,0,0
SC5,20071023,85.03,85.03,85.03,85.02,87310,221.00,221.00,221.00,221.00,0,12870,0
SC5,20071024,89.25,89.25,89.25,89.26,51270,232.00,232.00,232.00,232.00,0,0,0
SC5,20071025,93.49,93.49,93.49,93.49,76710,243.00,243.00,243.00,243.00,0,0,0
SC5,20071026,98.11,98.11,98.11,98.11,169820,255.00,255.00,255.00,255.00,0,0,0
SC5,20071029,101.96,101.96,96.19,96.18,267400,265.00,265.00,250.00,250.00,0,60170,0
SC5,20071030,94.26,96.18,94.26,94.26,104260,245.00,250.00,245.00,245.00,0,4470,0
SC5,20071031,90.03,92.34,90.03,91.56,110460,234.00,240.00,234.00,238.00,0,0,0
SC5,20071101,91.56,92.71,91.56,92.33,150260,238.00,241.00,238.00,240.00,0,0,0
SC5,20071102,93.48,93.48,91.18,91.18,65440,243.00,243.00,237.00,237.00,0,0,0
SC5,20071105,87.33,89.26,86.95,86.95,163020,227.00,232.00,226.00,226.00,0,0,0
SC5,20071106,83.49,85.41,83.10,83.10,250620,217.00,222.00,216.00,216.00,0,0,0
SC5,20071107,80.79,82.72,79.64,79.64,335550,210.00,215.00,207.00,207.00,24260,0,0
SC5,20071108,82.72,83.49,82.33,83.49,157790,215.00,217.00,214.00,217.00,40000,0,0
SC5,20071109,87.34,87.34,84.64,87.33,449940,227.00,227.00,220.00,227.00,20000,2070,200
SC5,20071112,84.64,86.56,83.48,84.26,106590,220.00,225.00,217.00,219.00,22000,500,1000
SC5,20071113,81.18,81.95,80.41,80.41,135850,211.00,213.00,209.00,209.00,0,0,0
SC5,20071114,82.72,84.26,81.95,83.87,190580,215.00,219.00,213.00,218.00,53000,0,0
SC5,20071115,81.18,81.95,80.41,81.95,143400,211.00,213.00,209.00,213.00,0,0,0
SC5,20071116,81.18,81.95,81.18,81.56,105200,211.00,213.00,211.00,212.00,0,0,0
SC5,20071119,82.33,82.33,80.79,81.18,95140,214.00,214.00,210.00,211.00,0,0,0
SC5,20071120,81.18,81.18,80.03,80.02,154120,211.00,211.00,208.00,208.00,32000,0,0
SC5,20071121,79.25,79.64,78.48,79.64,92000,206.00,207.00,204.00,207.00,0,0,0
SC5,20071122,80.02,80.79,79.64,79.64,73380,208.00,210.00,207.00,207.00,0,0,0
SC5,20071123,78.87,79.64,78.10,78.48,133090,205.00,207.00,203.00,204.00,30000,4180,0
SC5,20071126,80.40,80.40,79.25,80.02,197140,209.00,209.00,206.00,208.00,0,0,0
SC5,20071127,80.79,81.17,79.25,79.25,202790,210.00,211.00,206.00,206.00,20000,27700,0
SC5,20071128,79.25,80.40,79.25,80.41,125810,206.00,209.00,206.00,209.00,20000,3000,0
SC5,20071129,81.18,81.18,80.03,80.41,75880,211.00,211.00,208.00,209.00,0,0,0
SC5,20071130,79.64,80.03,79.64,79.64,42320,207.00,208.00,207.00,207.00,0,2300,0
SC5,20071203,79.64,80.02,79.26,79.64,102960,207.00,208.00,206.00,207.00,22000,11780,0
SC5,20071204,80.41,80.41,79.64,79.64,123690,209.00,209.00,207.00,207.00,0,13500,0
SC5,20071205,79.64,79.64,78.87,78.87,89100,207.00,207.00,205.00,205.00,20000,25200,0
SC5,20071206,78.87,78.87,78.49,78.48,82150,205.00,205.00,204.00,204.00,0,19790,0
SC5,20071207,78.10,78.48,77.71,78.10,126950,203.00,204.00,202.00,203.00,0,0,0
SC5,20071210,76.95,77.33,75.02,75.41,132200,200.00,201.00,195.00,196.00,40000,11140,500
SC5,20071211,75.41,75.41,72.33,73.10,272030,196.00,196.00,188.00,190.00,0,27770,0
SC5,20071212,72.33,75.41,72.33,73.87,130440,188.00,196.00,188.00,192.00,0,26620,500
SC5,20071213,73.87,73.87,72.33,72.33,122680,192.00,192.00,188.00,188.00,20000,60400,0
SC5,20071214,71.56,71.95,71.18,71.17,89880,186.00,187.00,185.00,185.00,40000,100,1300
