<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SCD,20061225,27.92,27.92,27.92,27.92,10,60.00,60.00,60.00,60.00,0,0,0
SCD,20061226,26.52,26.52,26.52,26.52,3050,57.00,57.00,57.00,57.00,0,0,0
SCD,20061227,26.52,26.52,26.52,26.52,60,57.00,57.00,57.00,57.00,0,60,0
SCD,20061228,26.52,26.52,25.36,25.36,20,57.00,57.00,54.50,54.50,0,0,0
SCD,20061229,25.36,25.36,24.20,24.20,70,54.50,54.50,52.00,52.00,0,50,0
SCD,20070102,22.99,22.99,22.99,22.99,10,49.40,49.40,49.40,49.40,0,0,0
SCD,20070103,21.87,21.87,21.87,21.87,170,47.00,47.00,47.00,47.00,0,0,0
SCD,20070104,20.80,20.80,20.80,20.80,5520,44.70,44.70,44.70,44.70,0,0,0
SCD,20070105,20.24,20.24,19.78,19.78,7500,43.50,43.50,42.50,42.50,0,0,0
SCD,20070108,18.80,18.80,18.80,18.80,16640,40.40,40.40,40.40,40.40,0,0,0
SCD,20070109,17.87,19.73,17.87,19.73,61640,38.40,42.40,38.40,42.40,0,0,0
SCD,20070110,20.71,20.71,20.71,20.71,4000,44.50,44.50,44.50,44.50,0,0,0
SCD,20070111,21.73,21.73,20.90,20.89,58010,46.70,46.70,44.90,44.90,0,2300,0
SCD,20070112,19.87,20.89,19.87,19.87,40960,42.70,44.90,42.70,42.70,0,1100,0
SCD,20070115,19.92,19.92,19.59,19.59,40400,42.80,42.80,42.10,42.10,0,0,0
SCD,20070116,19.08,19.54,18.61,18.61,29900,41.00,42.00,40.00,40.00,0,0,0
SCD,20070117,18.61,18.61,17.68,17.68,47950,40.00,40.00,38.00,38.00,0,0,20000
SCD,20070118,17.68,17.68,16.80,17.22,49260,38.00,38.00,36.10,37.00,0,0,48110
SCD,20070119,17.92,18.06,17.92,18.05,37160,38.50,38.80,38.50,38.80,0,0,29700
