<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SD5,20061227,2.59,3.19,2.59,3.19,4000,30.00,37.00,30.00,37.00,0,0,0
SD5,20070103,2.85,2.85,2.85,2.85,100,33.00,33.00,33.00,33.00,0,0,0
SD5,20070105,3.13,3.13,3.13,3.13,1000,36.30,36.30,36.30,36.30,0,0,0
SD5,20070112,3.15,3.15,3.15,3.15,700,36.50,36.50,36.50,36.50,0,0,0
SD5,20070124,3.32,3.32,3.32,3.32,1000,38.50,38.50,38.50,38.50,0,0,0
SD5,20070202,3.65,3.65,3.65,3.65,1000,42.30,42.30,42.30,42.30,0,0,0
SD5,20070205,4.01,4.01,4.01,4.01,5000,46.50,46.50,46.50,46.50,0,0,0
SD5,20070206,4.41,4.41,4.41,4.41,2000,51.10,51.10,51.10,51.10,0,0,0
SD5,20070207,4.85,4.85,4.85,4.85,100,56.20,56.20,56.20,56.20,0,0,0
SD5,20070208,5.33,5.33,5.33,5.33,4000,61.80,61.80,61.80,61.80,0,0,0
SD5,20070209,5.86,5.86,5.78,5.78,1100,67.90,67.90,67.00,67.00,0,0,0
SD5,20070212,6.30,6.40,6.21,6.21,2500,73.00,74.20,72.00,72.00,0,0,0
SD5,20070215,5.82,5.82,5.82,5.83,300,67.50,67.50,67.50,67.50,0,0,0
SD5,20070226,6.41,6.41,6.41,6.40,2500,74.20,74.20,74.20,74.20,0,0,0
SD5,20070227,7.04,7.04,7.04,7.04,7300,81.60,81.60,81.60,81.60,0,0,0
SD5,20070228,7.74,7.74,7.51,7.51,3200,89.70,89.70,87.00,87.00,0,0,0
SD5,20070301,8.49,8.49,8.49,8.48,1600,98.30,98.30,98.30,98.30,0,0,0
SD5,20070302,9.33,9.33,8.45,9.06,3800,108.10,108.10,98.00,105.00,0,0,0
SD5,20070305,9.98,9.98,9.98,9.99,2100,115.70,115.70,115.70,115.70,0,0,0
SD5,20070306,10.98,10.98,10.53,10.98,3800,127.20,127.20,122.00,127.20,0,0,0
SD5,20070307,12.02,12.02,11.91,12.02,5600,139.30,139.30,138.00,139.30,0,0,0
SD5,20070308,12.51,12.51,12.51,12.52,100,145.00,145.00,145.00,145.00,0,0,0
SD5,20070309,11.27,11.92,11.27,11.91,1500,130.50,138.00,130.50,138.00,0,0,0
SD5,20070312,12.08,12.08,12.08,12.08,100,140.00,140.00,140.00,140.00,0,0,0
SD5,20070313,11.86,12.08,11.86,12.08,2200,137.50,140.00,137.50,140.00,0,0,0
SD5,20070314,10.83,11.69,10.83,11.70,4300,125.50,135.50,125.50,135.50,0,0,0
SD5,20070316,10.29,11.18,10.29,11.18,6900,119.20,129.50,119.20,129.50,0,0,0
SD5,20070319,10.92,10.92,10.92,10.92,3600,125.00,125.00,125.00,125.00,0,0,0
SD5,20070321,10.05,10.05,10.05,10.04,5100,115.00,115.00,115.00,115.00,0,0,0
SD5,20070322,9.17,9.17,9.08,9.08,2800,105.00,105.00,104.00,104.00,0,0,0
SD5,20070323,9.39,9.39,8.29,8.30,6300,107.50,107.50,95.00,95.00,0,0,0
SD5,20070326,8.30,8.30,7.75,8.30,1000,95.00,95.00,88.70,95.00,0,0,0
SD5,20070328,8.03,8.24,7.42,7.42,1200,92.00,94.40,85.00,85.00,0,0,0
SD5,20070329,8.29,8.73,8.29,8.73,3300,95.00,100.00,95.00,100.00,0,0,0
SD5,20070330,9.43,9.43,8.73,8.73,3300,108.00,108.00,100.00,100.00,0,0,0
SD5,20070402,9.60,10.04,9.26,9.27,5000,110.00,115.00,106.10,106.10,0,0,0
SD5,20070403,8.74,8.74,8.74,8.73,300,100.00,100.00,100.00,100.00,0,0,0
SD5,20070404,8.73,8.73,8.73,8.73,500,100.00,100.00,100.00,100.00,0,0,0
SD5,20070406,8.73,8.73,8.73,8.73,100,100.00,100.00,100.00,100.00,0,0,0
SD5,20070410,8.73,8.73,7.94,7.95,2100,100.00,100.00,91.00,91.00,0,0,0
SD5,20070411,7.34,7.51,7.25,7.51,1900,84.00,86.00,83.00,86.00,0,0,0
SD5,20070412,7.34,7.86,7.16,7.86,4800,84.00,90.00,82.00,90.00,0,0,0
SD5,20070413,8.21,8.21,8.21,8.21,500,94.00,94.00,94.00,94.00,0,0,0
SD5,20070416,9.03,9.03,8.95,9.03,7000,103.40,103.40,102.50,103.40,0,0,0
SD5,20070417,9.93,9.93,9.93,9.93,500,113.70,113.70,113.70,113.70,0,0,0
SD5,20070418,8.94,8.94,8.94,8.94,800,102.40,102.40,102.40,102.40,0,0,0
SD5,20070419,8.05,8.05,8.05,8.05,2100,92.20,92.20,92.20,92.20,0,0,0
SD5,20070420,7.25,7.77,7.25,7.25,4900,83.00,89.00,83.00,83.00,0,0,0
SD5,20070423,6.73,6.73,6.54,6.55,4300,77.00,77.00,74.90,75.00,0,0,0
SD5,20070424,6.12,6.12,5.98,5.98,3200,70.10,70.10,68.50,68.50,0,0,0
SD5,20070425,6.13,6.29,6.13,6.29,1600,70.20,72.00,70.20,72.00,0,0,0
SD5,20070502,6.29,6.55,6.21,6.21,1000,72.00,75.00,71.10,71.10,0,0,0
SD5,20070503,6.46,6.54,6.46,6.54,1000,74.00,74.90,74.00,74.90,0,0,0
SD5,20070504,6.29,6.37,6.29,6.37,2000,72.00,73.00,72.00,72.90,0,0,0
SD5,20070507,6.38,6.38,6.25,6.24,800,73.00,73.00,71.50,71.50,0,0,0
SD5,20070508,6.32,6.55,6.32,6.55,5800,72.40,75.00,72.40,75.00,0,0,0
SD5,20070509,6.65,6.65,6.55,6.55,1100,76.10,76.10,75.00,75.00,0,0,0
SD5,20070510,6.29,6.29,6.11,6.12,1400,72.00,72.00,70.00,70.10,0,0,0
SD5,20070511,6.20,6.37,6.20,6.37,3600,71.00,73.00,71.00,73.00,0,0,0
SD5,20070515,6.55,6.55,6.38,6.37,2200,75.00,75.00,73.00,73.00,0,0,0
