<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDD,20080123,34.07,34.07,19.47,24.29,316400,70.00,70.00,40.00,49.90,0,0,0
SDD,20080124,24.44,25.99,23.95,25.07,286900,50.20,53.40,49.20,51.50,0,1000,0
SDD,20080125,25.02,25.51,24.34,24.34,119100,51.40,52.40,50.00,50.00,0,0,0
SDD,20080128,24.34,24.83,23.22,23.22,29600,50.00,51.00,47.70,47.70,0,0,0
SDD,20080129,22.88,24.44,21.91,23.36,113800,47.00,50.20,45.00,48.00,0,0,0
SDD,20080130,24.28,25.70,24.28,25.55,214500,49.90,52.80,49.90,52.50,0,0,0
SDD,20080131,27.01,27.01,23.36,24.34,71300,55.50,55.50,48.00,50.00,0,0,0
SDD,20080201,25.31,25.31,24.53,25.07,99900,52.00,52.00,50.40,51.50,0,0,0
SDD,20080212,25.80,25.80,23.37,23.85,13500,53.00,53.00,48.00,49.00,0,100,0
SDD,20080213,23.36,23.85,22.83,22.83,40600,48.00,49.00,46.90,46.90,0,1400,0
SDD,20080214,23.37,24.29,23.12,23.36,32700,48.00,49.90,47.50,48.00,18000,0,0
SDD,20080215,23.70,23.90,22.48,23.12,28000,48.70,49.10,46.20,47.50,0,0,0
SDD,20080218,23.12,23.12,21.12,21.51,98900,47.50,47.50,43.40,44.20,0,600,0
SDD,20080219,21.66,22.58,20.49,20.93,76000,44.50,46.40,42.10,43.00,0,0,0
SDD,20080220,23.46,23.46,19.47,19.81,69700,48.20,48.20,40.00,40.70,0,0,0
SDD,20080221,18.54,18.54,18.25,18.25,34100,38.10,38.10,37.50,37.50,8600,0,0
SDD,20080222,18.01,18.49,16.50,17.57,115600,37.00,38.00,33.90,36.10,0,3000,0
SDD,20080225,17.03,18.54,17.03,18.54,66400,35.00,38.10,35.00,38.10,0,0,0
SDD,20080226,20.29,20.29,16.69,16.69,55600,41.70,41.70,34.30,34.30,0,2500,0
SDD,20080227,16.11,18.49,16.11,16.99,43900,33.10,38.00,33.10,34.90,0,0,0
SDD,20080228,18.65,18.65,16.45,16.74,41000,38.30,38.30,33.80,34.40,0,0,0
SDD,20080229,17.03,17.03,15.38,15.72,55700,35.00,35.00,31.60,32.30,0,300,0
SDD,20080303,15.82,16.30,14.31,14.31,72600,32.50,33.50,29.40,29.40,0,0,0
SDD,20080304,13.63,13.63,13.53,13.53,17300,28.00,28.00,27.80,27.80,0,100,0
SDD,20080305,12.22,12.70,12.22,12.22,78200,25.10,26.10,25.10,25.10,0,0,0
SDD,20080306,13.49,13.49,13.49,13.48,9900,27.70,27.70,27.70,27.70,0,0,0
SDD,20080307,14.79,14.79,14.79,14.80,6000,30.40,30.40,30.40,30.40,0,0,0
SDD,20080310,16.26,16.26,13.88,14.94,138300,33.40,33.40,28.50,30.70,0,1200,1000
SDD,20080311,14.21,14.60,14.06,14.07,79300,29.20,30.00,28.90,28.90,0,2000,0
SDD,20080312,14.07,15.38,13.63,14.60,59500,28.90,31.60,28.00,30.00,0,1400,0
SDD,20080313,15.48,15.57,13.92,14.70,31200,31.80,32.00,28.60,30.20,0,0,0
SDD,20080314,14.12,14.55,13.97,14.11,42200,29.00,29.90,28.70,29.00,0,0,0
SDD,20080317,13.62,13.96,12.80,12.90,82800,28.00,28.70,26.30,26.50,0,1500,0
SDD,20080318,11.68,11.68,11.63,11.63,65300,24.00,24.00,23.90,23.90,0,0,0
SDD,20080319,11.87,12.65,10.71,11.44,41300,24.40,26.00,22.00,23.50,0,1600,0
SDD,20080320,11.93,12.07,11.05,11.24,42100,24.50,24.80,22.70,23.10,0,0,0
SDD,20080321,10.75,10.95,10.36,10.42,66100,22.10,22.50,21.30,21.40,10000,200,0
SDD,20080324,9.74,9.74,9.49,9.49,25400,20.00,20.00,19.50,19.50,0,100,0
SDD,20080325,9.00,9.00,8.57,8.57,19500,18.50,18.50,17.60,17.60,0,2000,0
SDD,20080326,8.57,9.25,7.84,8.76,116700,17.60,19.00,16.10,18.00,0,1900,0
SDD,20080327,8.81,8.81,8.81,8.81,7200,18.10,18.10,18.10,18.10,0,0,0
SDD,20080328,8.96,8.96,8.96,8.96,9000,18.40,18.40,18.40,18.40,0,0,8800
SDD,20080331,9.11,9.11,9.11,9.10,1000,18.70,18.70,18.70,18.70,0,0,0
SDD,20080401,9.25,9.25,9.25,9.25,3700,19.00,19.00,19.00,19.00,0,0,1000
SDD,20080402,9.40,9.40,9.40,9.39,100,19.30,19.30,19.30,19.30,0,0,0
SDD,20080403,9.54,9.54,9.54,9.54,400,19.60,19.60,19.60,19.60,0,0,0
SDD,20080404,9.69,9.69,9.69,9.69,2900,19.90,19.90,19.90,19.90,0,0,2900
SDD,20080407,9.93,9.93,9.93,9.93,1100,20.40,20.40,20.40,20.40,0,0,0
SDD,20080408,10.22,10.22,9.64,10.12,123000,21.00,21.00,19.80,20.80,0,4000,0
SDD,20080409,10.12,10.17,9.58,9.59,16800,20.80,20.90,19.70,19.70,0,500,0
SDD,20080410,9.44,9.44,9.44,9.44,3000,19.40,19.40,19.40,19.40,0,400,0
SDD,20080411,9.20,9.20,9.20,9.20,800,18.90,18.90,18.90,18.90,0,0,0
SDD,20080416,8.96,8.96,8.96,8.96,4400,18.40,18.40,18.40,18.40,0,100,0
SDD,20080417,8.72,9.20,8.72,9.00,93500,17.90,18.90,17.90,18.50,0,0,0
SDD,20080418,8.90,9.15,8.66,8.71,25200,18.30,18.80,17.80,17.90,0,0,0
SDD,20080421,8.61,8.61,8.52,8.52,5700,17.70,17.70,17.50,17.50,0,0,0
SDD,20080422,8.28,8.28,8.28,8.27,4700,17.00,17.00,17.00,17.00,0,200,0
SDD,20080423,8.03,8.03,8.03,8.03,1300,16.50,16.50,16.50,16.50,0,0,0
SDD,20080424,7.84,8.13,7.84,7.84,72400,16.10,16.70,16.10,16.10,0,100,0
SDD,20080425,7.79,7.89,7.69,7.84,34700,16.00,16.20,15.80,16.10,0,100,0
SDD,20080428,7.69,7.94,7.65,7.93,39000,15.80,16.30,15.70,16.30,0,100,0
SDD,20080429,7.93,8.03,7.78,7.79,27700,16.30,16.50,16.00,16.00,0,100,0
SDD,20080505,7.74,7.74,7.74,7.74,12300,15.90,15.90,15.90,15.90,0,0,0
SDD,20080506,7.55,7.55,7.55,7.54,200,15.50,15.50,15.50,15.50,0,0,0
SDD,20080507,7.35,7.35,7.35,7.35,700,15.10,15.10,15.10,15.10,0,0,0
SDD,20080508,7.16,7.16,7.16,7.15,1700,14.70,14.70,14.70,14.70,0,0,0
SDD,20080509,6.96,6.96,6.96,6.96,500,14.30,14.30,14.30,14.30,0,0,0
SDD,20080512,6.77,6.77,6.77,6.77,100,13.90,13.90,13.90,13.90,0,0,0
SDD,20080513,6.58,6.58,6.58,6.57,100,13.50,13.50,13.50,13.50,0,0,0
SDD,20080514,6.38,6.38,6.38,6.38,500,13.10,13.10,13.10,13.10,0,0,0
SDD,20080515,6.23,6.23,6.23,6.23,1100,12.80,12.80,12.80,12.80,0,0,0
SDD,20080516,6.08,6.38,6.08,6.08,19500,12.50,13.10,12.50,12.50,0,0,0
SDD,20080519,5.98,5.98,5.98,5.99,2100,12.30,12.30,12.30,12.30,0,100,0
SDD,20080520,5.84,5.84,5.84,5.84,200,12.00,12.00,12.00,12.00,0,0,0
SDD,20080521,5.69,5.69,5.69,5.69,300,11.70,11.70,11.70,11.70,0,100,0
SDD,20080522,5.54,5.54,5.54,5.55,100,11.40,11.40,11.40,11.40,0,0,0
SDD,20080523,5.40,5.40,5.40,5.40,600,11.10,11.10,11.10,11.10,0,0,0
SDD,20080527,5.25,5.25,5.25,5.26,100,10.80,10.80,10.80,10.80,0,0,0
SDD,20080528,5.11,5.11,5.11,5.11,14800,10.50,10.50,10.50,10.50,0,0,0
SDD,20080529,4.96,5.26,4.96,4.96,47900,10.20,10.80,10.20,10.20,0,0,0
SDD,20080530,4.91,4.91,4.81,4.82,13800,10.10,10.10,9.90,9.90,0,200,0
SDD,20080602,4.72,4.72,4.72,4.72,3300,9.70,9.70,9.70,9.70,0,0,0
SDD,20080603,4.62,4.62,4.62,4.62,2600,9.50,9.50,9.50,9.50,0,0,0
SDD,20080604,4.52,4.52,4.52,4.53,3600,9.30,9.30,9.30,9.30,0,0,0
SDD,20080605,4.43,4.43,4.43,4.43,700,9.10,9.10,9.10,9.10,0,0,0
SDD,20080606,4.33,4.33,4.33,4.33,1800,8.90,8.90,8.90,8.90,0,0,0
SDD,20080609,4.23,4.23,4.23,4.23,1400,8.70,8.70,8.70,8.70,0,0,0
SDD,20080610,4.13,4.33,4.13,4.33,52700,8.50,8.90,8.50,8.90,0,300,0
SDD,20080611,4.33,4.33,4.23,4.33,37800,8.90,8.90,8.70,8.90,0,0,0
SDD,20080612,4.43,4.43,4.43,4.43,2900,9.10,9.10,9.10,9.10,0,0,0
SDD,20080613,4.53,4.53,4.53,4.53,6000,9.30,9.30,9.30,9.30,0,0,0
SDD,20080616,4.63,4.63,4.63,4.62,12900,9.50,9.50,9.50,9.50,0,0,0
SDD,20080617,4.72,4.72,4.72,4.72,6000,9.70,9.70,9.70,9.70,9100,0,0
SDD,20080618,4.82,4.82,4.62,4.62,52700,9.90,9.90,9.50,9.50,0,300,0
SDD,20080619,4.62,4.62,4.62,4.62,1500,9.50,9.50,9.50,9.50,0,0,0
SDD,20080620,4.47,4.47,4.47,4.48,13700,9.20,9.20,9.20,9.20,0,0,0
SDD,20080623,4.33,4.63,4.33,4.62,73500,8.90,9.50,8.90,9.50,0,0,0
SDD,20080624,4.72,4.72,4.57,4.72,49800,9.70,9.70,9.40,9.70,0,0,0
SDD,20080625,4.82,4.82,4.72,4.82,43500,9.90,9.90,9.70,9.90,0,0,0
SDD,20080626,4.92,4.97,4.67,4.92,77400,10.10,10.20,9.60,10.10,0,0,0
SDD,20080627,4.68,4.97,4.68,4.87,48200,9.60,10.20,9.60,10.00,0,0,0
SDD,20080630,4.97,4.97,4.72,4.96,71600,10.20,10.20,9.70,10.20,0,0,0
SDD,20080701,5.11,5.11,4.96,5.11,9400,10.50,10.50,10.20,10.50,0,0,0
SDD,20080702,5.30,5.30,4.96,5.31,61900,10.90,10.90,10.20,10.90,0,300,0
SDD,20080703,5.50,5.50,5.46,5.50,47800,11.30,11.30,11.20,11.30,0,0,0
SDD,20080704,5.69,5.69,5.69,5.69,24100,11.70,11.70,11.70,11.70,0,0,0
SDD,20080707,5.88,5.88,5.50,5.60,113400,12.10,12.10,11.30,11.50,0,0,0
SDD,20080708,5.55,5.94,5.55,5.89,98200,11.40,12.20,11.40,12.10,0,0,0
SDD,20080709,5.84,5.89,5.79,5.89,62700,12.00,12.10,11.90,12.10,0,0,0
SDD,20080710,6.08,6.08,6.08,6.08,13800,12.50,12.50,12.50,12.50,0,0,0
SDD,20080711,6.32,6.32,6.32,6.33,15900,13.00,13.00,13.00,13.00,0,0,0
SDD,20080714,6.57,6.57,6.57,6.57,7800,13.50,13.50,13.50,13.50,0,0,0
SDD,20080715,6.81,6.81,6.81,6.81,9300,14.00,14.00,14.00,14.00,0,0,0
SDD,20080716,7.05,7.05,6.57,7.06,159900,14.50,14.50,13.50,14.50,0,0,0
