<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SEB,20090114,4.42,4.77,4.42,4.74,15400,14.00,15.10,14.00,15.00,0,0,0
SEB,20090116,4.77,4.77,4.71,4.71,7000,15.10,15.10,14.90,14.90,0,0,0
SEB,20090119,4.43,4.43,4.43,4.42,10900,14.00,14.00,14.00,14.00,0,0,0
SEB,20090121,4.42,4.42,4.42,4.42,600,14.00,14.00,14.00,14.00,0,0,0
SEB,20090122,4.42,4.45,4.42,4.45,10800,14.00,14.10,14.00,14.10,0,0,0
SEB,20090123,4.42,4.51,4.42,4.49,3300,14.00,14.30,14.00,14.20,0,0,0
SEB,20090202,4.43,4.43,4.43,4.42,500,14.00,14.00,14.00,14.00,0,0,0
SEB,20090203,4.42,4.42,4.42,4.42,4300,14.00,14.00,14.00,14.00,0,0,0
SEB,20090206,4.61,4.61,4.17,4.20,16500,14.60,14.60,13.20,13.30,0,0,0
SEB,20090209,4.26,4.45,4.20,4.45,2800,13.50,14.10,13.30,14.10,0,0,0
SEB,20090210,3.95,4.01,3.95,3.95,15200,12.50,12.70,12.50,12.50,0,0,0
SEB,20090211,4.20,4.20,4.20,4.20,100,13.30,13.30,13.30,13.30,6500,0,0
SEB,20090212,3.92,4.11,3.92,3.92,8100,12.40,13.00,12.40,12.40,0,0,0
SEB,20090213,3.95,3.95,3.89,3.95,7500,12.50,12.50,12.30,12.50,0,0,0
SEB,20090216,4.17,4.17,4.17,4.17,100,13.20,13.20,13.20,13.20,0,0,0
SEB,20090217,3.95,4.04,3.95,3.98,7000,12.50,12.80,12.50,12.60,0,0,0
SEB,20090218,4.01,4.01,4.01,4.01,100,12.70,12.70,12.70,12.70,0,0,0
SEB,20090219,3.98,3.98,3.95,3.95,6000,12.60,12.60,12.50,12.50,0,0,0
SEB,20090220,3.89,3.98,3.89,3.95,6900,12.30,12.60,12.30,12.50,0,0,0
SEB,20090223,3.95,3.95,3.89,3.92,6500,12.50,12.50,12.30,12.40,0,0,0
SEB,20090224,3.92,3.92,3.86,3.89,9000,12.40,12.40,12.20,12.30,0,0,0
SEB,20090225,3.89,3.89,3.89,3.89,3000,12.30,12.30,12.30,12.30,0,0,0
SEB,20090226,3.89,3.95,3.89,3.95,4800,12.30,12.50,12.30,12.50,0,0,0
SEB,20090227,3.98,3.98,3.98,3.98,4100,12.60,12.60,12.60,12.60,0,0,0
