<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGD,20061228,10.80,10.80,10.80,10.80,1300,50.00,50.00,50.00,50.00,0,0,0
SGD,20061229,11.88,11.88,9.72,9.72,3400,55.00,55.00,45.00,45.00,0,0,0
SGD,20070110,10.48,10.48,10.48,10.48,500,48.50,48.50,48.50,48.50,0,0,0
SGD,20070111,9.44,9.44,9.44,9.44,500,43.70,43.70,43.70,43.70,0,0,0
SGD,20070112,9.29,9.29,9.29,9.29,100,43.00,43.00,43.00,43.00,0,0,0
SGD,20070115,8.36,8.36,8.36,8.36,1200,38.70,38.70,38.70,38.70,0,0,0
SGD,20070116,7.54,7.60,7.54,7.56,3000,34.90,35.20,34.90,35.00,0,0,0
SGD,20070117,8.21,8.21,7.78,7.78,12300,38.00,38.00,36.00,36.00,0,0,0
SGD,20070118,8.43,8.80,8.43,8.79,10000,39.00,40.70,39.00,40.70,0,0,0
SGD,20070119,9.55,9.55,9.55,9.55,600,44.20,44.20,44.20,44.20,0,0,0
SGD,20070122,10.50,10.50,10.50,10.50,3400,48.60,48.60,48.60,48.60,0,0,0
SGD,20070123,11.54,11.54,10.80,11.34,17800,53.40,53.40,50.00,52.50,0,0,0
SGD,20070124,11.88,12.31,10.80,10.80,14000,55.00,57.00,50.00,50.00,0,0,0
SGD,20070125,10.30,10.48,10.30,10.48,2200,47.70,48.50,47.70,48.50,0,0,0
SGD,20070126,9.72,9.72,9.36,9.51,6500,45.00,45.00,43.30,44.00,0,0,0
SGD,20070129,9.57,10.48,9.08,10.48,3200,44.30,48.50,42.00,48.50,0,0,0
SGD,20070130,10.80,10.93,10.80,10.93,8300,50.00,50.60,50.00,50.60,0,0,0
SGD,20070131,12.01,12.01,11.02,12.01,31300,55.60,55.60,51.00,55.60,0,0,0
SGD,20070201,12.07,13.07,12.07,12.42,22000,55.90,60.50,55.90,57.50,0,0,0
SGD,20070202,12.64,12.72,12.31,12.31,18900,58.50,58.90,57.00,57.00,0,0,0
SGD,20070205,12.31,12.61,12.31,12.31,6700,57.00,58.40,57.00,57.00,0,0,0
SGD,20070206,12.09,12.31,11.88,11.88,3100,56.00,57.00,55.00,55.00,0,0,0
SGD,20070207,11.23,11.34,11.23,11.34,4800,52.00,52.50,52.00,52.50,0,0,0
SGD,20070208,11.45,11.45,11.45,11.45,1600,53.00,53.00,53.00,53.00,0,0,0
SGD,20070209,11.67,11.67,11.23,11.23,3400,54.00,54.00,52.00,52.00,0,0,0
SGD,20070212,11.45,12.35,11.45,11.67,1600,53.00,57.20,53.00,54.00,0,0,0
SGD,20070213,11.76,11.76,11.45,11.67,3300,54.40,54.40,53.00,54.00,0,0,0
SGD,20070214,11.69,11.69,11.56,11.69,7800,54.10,54.10,53.50,54.10,0,0,0
SGD,20070215,11.88,12.10,11.69,12.10,15100,55.00,56.00,54.10,56.00,0,0,0
SGD,20070226,13.09,13.09,11.99,12.10,5500,60.60,60.60,55.50,56.00,0,0,0
SGD,20070227,12.32,13.31,12.10,12.42,11600,57.00,61.60,56.00,57.50,0,0,0
SGD,20070228,13.82,13.82,12.74,12.75,5300,64.00,64.00,59.00,59.00,0,0,0
SGD,20070301,12.99,13.83,12.53,13.03,16000,60.10,64.00,58.00,60.30,0,0,0
SGD,20070302,11.88,12.97,11.88,12.64,21100,55.00,60.00,55.00,58.50,0,0,0
SGD,20070305,12.96,13.31,12.75,13.31,21300,60.00,61.60,59.00,61.60,0,0,0
SGD,20070306,14.52,14.52,14.52,14.52,6300,67.20,67.20,67.20,67.20,0,0,0
SGD,20070307,15.97,15.97,15.97,15.96,11700,73.90,73.90,73.90,73.90,0,0,0
SGD,20070308,17.54,17.54,17.54,17.54,17400,81.20,81.20,81.20,81.20,0,0,0
SGD,20070309,19.29,19.29,18.36,18.58,27800,89.30,89.30,85.00,86.00,0,0,0
SGD,20070312,18.36,20.20,18.36,18.79,15200,85.00,93.50,85.00,87.00,0,0,0
SGD,20070313,17.82,18.79,17.49,17.50,3100,82.50,87.00,81.00,81.00,0,0,0
SGD,20070314,16.10,16.10,16.10,16.09,4300,74.50,74.50,74.50,74.50,0,0,0
SGD,20070315,14.49,14.49,14.49,14.50,4800,67.10,67.10,67.10,67.10,0,0,0
SGD,20070316,14.61,15.13,14.61,15.12,1500,67.60,70.00,67.60,70.00,0,0,0
SGD,20070319,16.24,16.24,16.24,16.25,2100,75.20,75.20,75.20,75.20,0,0,0
SGD,20070320,17.87,17.87,17.87,17.87,13400,82.70,82.70,82.70,82.70,0,0,0
SGD,20070321,19.64,19.64,19.56,19.64,43900,90.90,90.90,90.50,90.90,0,0,0
SGD,20070322,21.58,21.58,18.58,19.01,11400,99.90,99.90,86.00,88.00,0,0,0
SGD,20070323,18.36,19.94,17.71,18.69,14100,85.00,92.30,82.00,86.50,0,0,0
SGD,20070326,18.58,19.45,17.35,17.97,6800,86.00,90.00,80.30,83.20,0,0,0
SGD,20070327,16.44,16.44,16.13,16.14,3600,76.10,76.10,74.70,74.70,0,0,0
SGD,20070328,14.56,17.76,14.56,17.76,6100,67.40,82.20,67.40,82.20,0,0,0
SGD,20070329,18.43,18.43,16.85,17.82,10500,85.30,85.30,78.00,82.50,0,0,0
SGD,20070330,18.36,18.36,17.93,18.00,2500,85.00,85.00,83.00,83.30,0,0,0
SGD,20070402,17.50,17.94,16.36,16.42,5600,81.00,83.00,75.70,76.00,5000,0,0
SGD,20070403,16.61,16.61,16.59,16.59,800,76.90,76.90,76.80,76.80,0,0,0
SGD,20070404,16.20,16.20,15.16,15.55,5900,75.00,75.00,70.20,72.00,0,0,0
SGD,20070405,15.55,15.55,15.12,15.55,2400,72.00,72.00,70.00,72.00,0,0,0
SGD,20070406,15.66,15.77,14.90,15.62,2700,72.50,73.00,69.00,72.30,0,0,0
SGD,20070409,15.17,15.34,15.17,15.34,1200,70.20,71.00,70.20,71.00,0,0,0
SGD,20070410,15.34,15.34,15.12,15.12,4200,71.00,71.00,70.00,70.00,0,0,0
SGD,20070411,15.55,15.77,15.55,15.55,1300,72.00,73.00,72.00,72.00,0,0,0
SGD,20070412,15.61,15.77,15.12,15.12,2500,72.30,73.00,70.00,70.00,0,0,0
SGD,20070413,15.34,15.66,15.34,15.64,2900,71.00,72.50,71.00,72.40,0,0,0
SGD,20070416,14.58,14.60,14.02,14.02,2500,67.50,67.60,64.90,64.90,0,0,0
SGD,20070417,14.47,14.47,14.26,14.47,2200,67.00,67.00,66.00,67.00,0,0,0
SGD,20070418,14.41,15.77,14.41,15.77,4100,66.70,73.00,66.70,73.00,0,0,0
