<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SHP,20100910,8.08,12.12,8.08,12.12,200,10.00,15.00,10.00,15.00,0,0,0
SHP,20100913,10.10,10.10,10.10,10.10,5000,12.50,12.50,12.50,12.50,0,0,0
SHP,20100916,10.10,10.10,10.10,10.10,15000,12.50,12.50,12.50,12.50,0,0,0
SHP,20100930,9.13,9.13,9.13,9.13,9000,11.30,11.30,11.30,11.30,0,0,0
SHP,20101007,9.13,9.13,9.13,9.13,20000,11.30,11.30,11.30,11.30,0,0,0
SHP,20101008,8.24,8.24,8.24,8.24,100,10.20,10.20,10.20,10.20,0,0,0
SHP,20101011,7.43,7.43,7.43,7.43,100,9.20,9.20,9.20,9.20,0,0,0
SHP,20101012,6.70,6.70,6.70,6.70,100,8.30,8.30,8.30,8.30,0,0,0
SHP,20101013,6.05,6.05,6.05,6.06,100,7.50,7.50,7.50,7.50,0,0,0
SHP,20101014,5.49,5.49,5.49,5.49,2700,6.80,6.80,6.80,6.80,0,0,0
SHP,20101015,5.01,5.09,5.01,5.01,47400,6.20,6.30,6.20,6.20,0,0,0
SHP,20101018,4.61,4.61,4.53,4.52,28300,5.70,5.70,5.60,5.60,0,0,0
SHP,20101019,4.12,4.44,4.12,4.44,76300,5.10,5.50,5.10,5.50,0,0,0
SHP,20101020,4.52,4.52,4.52,4.52,2900,5.60,5.60,5.60,5.60,0,0,0
SHP,20101021,4.92,4.92,4.76,4.77,9600,6.10,6.10,5.90,5.90,0,0,0
SHP,20101022,5.26,5.42,4.69,4.85,8800,6.50,6.70,5.80,6.00,0,0,0
SHP,20101025,4.61,4.61,4.61,4.60,9900,5.70,5.70,5.70,5.70,0,0,0
SHP,20101026,5.00,5.00,4.20,4.69,13200,6.20,6.20,5.20,5.80,0,0,0
SHP,20101027,4.69,4.69,4.37,4.52,9000,5.80,5.80,5.40,5.60,0,0,0
SHP,20101028,5.00,5.00,4.60,4.69,23100,6.20,6.20,5.70,5.80,0,0,0
SHP,20101029,4.69,4.77,4.69,4.77,15000,5.80,5.90,5.80,5.90,0,0,0
SHP,20101101,4.77,4.77,4.69,4.77,4900,5.90,5.90,5.80,5.90,0,0,0
SHP,20101102,4.61,4.61,4.61,4.60,6000,5.70,5.70,5.70,5.70,0,0,0
SHP,20101103,4.76,4.76,4.68,4.69,4800,5.90,5.90,5.80,5.80,0,0,0
SHP,20101105,4.69,4.77,4.69,4.77,7000,5.80,5.90,5.80,5.90,0,0,0
SHP,20101109,4.61,4.69,4.61,4.69,400,5.70,5.80,5.70,5.80,0,0,0
SHP,20101110,4.77,4.77,4.69,4.69,3800,5.90,5.90,5.80,5.80,0,0,0
SHP,20101111,4.61,4.61,4.53,4.60,2400,5.70,5.70,5.60,5.70,0,0,0
SHP,20101112,4.60,4.60,4.44,4.52,3300,5.70,5.70,5.50,5.60,0,0,0
SHP,20101115,4.44,4.44,4.28,4.44,6500,5.50,5.50,5.30,5.50,0,0,0
SHP,20101116,4.36,4.36,4.28,4.28,1600,5.40,5.40,5.30,5.30,0,0,0
SHP,20101117,4.04,4.12,4.04,4.04,51000,5.00,5.10,5.00,5.00,0,0,0
SHP,20101118,4.04,4.44,4.04,4.44,11500,5.00,5.50,5.00,5.50,0,0,0
SHP,20101119,4.28,4.28,4.28,4.28,43600,5.30,5.30,5.30,5.30,0,0,0
SHP,20101122,4.12,4.12,3.88,3.88,34100,5.10,5.10,4.80,4.80,0,0,0
SHP,20101123,4.28,4.28,4.28,4.28,100,5.30,5.30,5.30,5.30,0,0,0
SHP,20101124,4.04,4.04,4.04,4.04,800,5.00,5.00,5.00,5.00,0,0,0
SHP,20101125,4.44,4.44,4.44,4.44,100,5.50,5.50,5.50,5.50,0,0,0
SHP,20101126,4.44,4.60,4.44,4.60,3200,5.50,5.70,5.50,5.70,0,0,0
SHP,20101129,4.44,4.84,4.36,4.77,21100,5.50,6.00,5.40,5.90,0,0,0
SHP,20101130,4.93,5.09,4.69,4.77,5200,6.10,6.30,5.80,5.90,0,0,0
SHP,20101201,5.01,5.17,4.85,4.85,2900,6.20,6.40,6.00,6.00,0,0,0
SHP,20101202,5.42,5.42,4.53,4.85,20500,6.70,6.70,5.60,6.00,0,0,0
SHP,20101203,4.93,5.09,4.93,4.93,9000,6.10,6.30,6.10,6.10,0,0,0
SHP,20101206,5.17,5.17,4.77,4.77,4100,6.40,6.40,5.90,5.90,0,0,0
SHP,20101207,5.09,5.09,4.37,4.52,4200,6.30,6.30,5.40,5.60,0,0,0
SHP,20101208,4.44,4.60,4.04,4.60,24700,5.50,5.70,5.00,5.70,0,0,0
SHP,20101209,4.52,4.52,4.36,4.44,6200,5.60,5.60,5.40,5.50,0,0,0
SHP,20101210,4.84,4.84,4.52,4.69,9500,6.00,6.00,5.60,5.80,0,0,0
SHP,20101213,4.93,4.93,4.85,4.93,7700,6.10,6.10,6.00,6.10,0,0,0
SHP,20101214,4.69,4.77,4.61,4.77,6600,5.80,5.90,5.70,5.90,0,0,0
SHP,20101215,4.69,4.69,4.53,4.52,3300,5.80,5.80,5.60,5.60,0,0,0
SHP,20101216,4.52,4.52,4.44,4.44,9500,5.60,5.60,5.50,5.50,0,0,0
SHP,20101217,4.76,4.76,4.52,4.52,2087,5.90,5.90,5.60,5.60,0,0,0
SHP,20101220,4.44,4.44,4.36,4.44,21200,5.50,5.50,5.40,5.50,0,0,0
SHP,20101221,4.44,4.52,4.44,4.44,39200,5.50,5.60,5.50,5.50,0,0,0
SHP,20101222,4.52,4.52,4.36,4.44,40400,5.60,5.60,5.40,5.50,0,0,0
SHP,20101223,4.44,4.68,4.44,4.60,17000,5.50,5.80,5.50,5.70,0,0,0
SHP,20101224,4.60,5.00,4.52,5.01,12800,5.70,6.20,5.60,6.20,0,0,0
SHP,20101227,4.69,4.77,4.69,4.69,10200,5.80,5.90,5.80,5.80,0,0,0
SHP,20101228,5.01,5.09,4.85,4.85,11400,6.20,6.30,6.00,6.00,0,0,0
SHP,20101229,4.77,4.77,4.69,4.77,5400,5.90,5.90,5.80,5.90,0,0,0
SHP,20101230,4.69,4.85,4.53,4.85,15400,5.80,6.00,5.60,6.00,0,0,0
SHP,20101231,4.61,4.61,4.61,4.60,4800,5.70,5.70,5.70,5.70,0,0,0
SHP,20110104,4.60,4.60,4.52,4.60,6200,5.70,5.70,5.60,5.70,0,0,0
SHP,20110105,4.76,4.76,4.68,4.69,1700,5.90,5.90,5.80,5.80,0,0,0
SHP,20110106,4.85,4.85,4.69,4.85,6100,6.00,6.00,5.80,6.00,0,0,0
SHP,20110107,4.85,4.85,4.85,4.85,100,6.00,6.00,6.00,6.00,0,0,0
SHP,20110110,4.61,4.61,4.61,4.60,2000,5.70,5.70,5.70,5.70,0,0,0
SHP,20110111,4.84,4.84,4.76,4.77,2000,6.00,6.00,5.90,5.90,0,0,0
SHP,20110112,4.77,4.85,4.53,4.52,4500,5.90,6.00,5.60,5.60,0,0,0
SHP,20110113,4.68,4.84,4.60,4.85,18271,5.80,6.00,5.70,6.00,0,0,0
SHP,20110114,4.85,4.85,4.85,4.85,1000,6.00,6.00,6.00,6.00,0,0,0
SHP,20110118,4.61,4.61,4.61,4.60,3000,5.70,5.70,5.70,5.70,0,0,0
SHP,20110119,4.68,4.76,4.68,4.77,3300,5.80,5.90,5.80,5.90,0,0,0
SHP,20110120,5.09,5.09,4.61,4.60,64300,6.30,6.30,5.70,5.70,0,0,0
SHP,20110121,4.84,5.00,4.52,4.60,6600,6.00,6.20,5.60,5.70,0,0,0
SHP,20110124,4.52,4.52,4.20,4.20,9200,5.60,5.60,5.20,5.20,0,0,0
SHP,20110125,4.36,4.60,4.20,4.20,12600,5.40,5.70,5.20,5.20,0,0,0
SHP,20110126,4.68,4.68,4.68,4.69,200,5.80,5.80,5.80,5.80,0,0,0
SHP,20110127,5.01,5.01,5.01,5.01,200,6.20,6.20,6.20,6.20,0,0,0
SHP,20110128,4.53,4.61,4.53,4.60,5000,5.60,5.70,5.60,5.70,0,0,0
SHP,20110208,4.68,4.68,4.68,4.69,100,5.80,5.80,5.80,5.80,0,0,0
SHP,20110209,4.77,4.77,4.77,4.77,100,5.90,5.90,5.90,5.90,0,0,0
SHP,20110210,4.53,4.53,4.53,4.52,2000,5.60,5.60,5.60,5.60,0,0,0
SHP,20110211,4.68,4.68,4.68,4.69,100,5.80,5.80,5.80,5.80,0,0,0
SHP,20110214,4.77,4.77,4.61,4.60,7700,5.90,5.90,5.70,5.70,0,0,0
SHP,20110215,4.60,4.60,4.52,4.52,2500,5.70,5.70,5.60,5.60,0,0,0
SHP,20110216,4.76,4.76,4.76,4.77,100,5.90,5.90,5.90,5.90,0,0,0
SHP,20110217,4.45,4.53,4.45,4.44,24200,5.50,5.60,5.50,5.50,0,0,0
