<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SQC,20091217,73.64,73.64,73.64,73.64,5000,81.00,81.00,81.00,81.00,0,0,0
SQC,20091218,78.73,78.73,78.73,78.73,6000,86.60,86.60,86.60,86.60,0,0,0
SQC,20091221,84.18,84.18,84.18,84.18,100,92.60,92.60,92.60,92.60,0,0,0
SQC,20091222,90.00,90.00,90.00,90.00,9000,99.00,99.00,99.00,99.00,0,0,0
SQC,20091223,96.27,96.27,96.27,96.27,20000,105.90,105.90,105.90,105.90,0,0,0
SQC,20091224,103.00,103.00,103.00,103.00,102600,113.30,113.30,113.30,113.30,0,0,0
SQC,20091225,110.18,110.18,110.18,110.18,197900,121.20,121.20,121.20,121.20,0,0,0
SQC,20091228,117.82,117.82,117.82,117.82,106800,129.60,129.60,129.60,129.60,0,0,0
SQC,20091229,126.00,126.00,117.64,126.00,127200,138.60,138.60,129.40,138.60,0,0,0
SQC,20091230,127.64,127.64,119.45,127.18,120600,140.40,140.40,131.40,139.90,0,0,0
SQC,20091231,127.27,136.09,127.27,136.00,489400,140.00,149.70,140.00,149.60,0,0,0
SQC,20100104,135.91,145.45,135.91,145.45,410400,149.50,160.00,149.50,160.00,0,0,0
SQC,20100105,145.45,146.81,139.09,139.09,240600,160.00,161.50,153.00,153.00,0,100,0
SQC,20100106,146.36,146.36,135.27,135.36,165500,161.00,161.00,148.80,148.90,0,0,0
SQC,20100107,142.81,142.81,132.91,132.91,217000,157.10,157.10,146.20,146.20,0,500,0
SQC,20100108,141.18,141.18,131.27,136.36,214400,155.30,155.30,144.40,150.00,0,0,0
SQC,20100111,139.81,139.81,130.27,136.27,92600,153.80,153.80,143.30,149.90,0,0,0
SQC,20100112,139.09,139.36,129.63,139.09,14300,153.00,153.30,142.60,153.00,0,500,0
SQC,20100113,136.00,136.00,128.64,135.45,15900,149.60,149.60,141.50,149.00,0,0,0
SQC,20100114,135.45,136.18,135.45,135.91,49000,149.00,149.80,149.00,149.50,0,0,0
SQC,20100115,136.82,136.82,133.18,133.18,17500,150.50,150.50,146.50,146.50,0,500,0
SQC,20100118,131.63,131.63,126.18,126.18,5300,144.80,144.80,138.80,138.80,0,0,0
SQC,20100119,125.45,125.45,121.63,121.64,1600,138.00,138.00,133.80,133.80,0,0,0
SQC,20100120,115.37,118.09,115.37,115.36,4400,126.90,129.90,126.90,126.90,0,0,100
SQC,20100121,107.91,122.54,107.91,122.55,11800,118.70,134.80,118.70,134.80,0,100,0
SQC,20100122,109.91,111.00,109.91,111.00,11700,120.90,122.10,120.90,122.10,0,0,0
SQC,20100125,110.09,111.36,110.09,111.36,2500,121.10,122.50,121.10,122.50,0,0,0
SQC,20100126,113.18,118.18,113.18,118.18,4500,124.50,130.00,124.50,130.00,0,0,0
SQC,20100127,122.18,122.18,122.18,122.18,100,134.40,134.40,134.40,134.40,0,0,0
SQC,20100128,118.18,126.27,118.18,126.27,200,130.00,138.90,130.00,138.90,0,100,0
SQC,20100129,113.72,126.18,113.72,126.18,500,125.10,138.80,125.10,138.80,0,0,0
SQC,20100201,109.73,125.82,109.73,125.82,2400,120.70,138.40,120.70,138.40,0,0,0
SQC,20100202,126.37,130.91,126.37,130.91,600,139.00,144.00,139.00,144.00,0,0,0
SQC,20100203,130.91,139.09,130.00,139.09,1700,144.00,153.00,143.00,153.00,0,400,0
SQC,20100204,125.09,140.91,125.09,140.27,1100,137.60,155.00,137.60,154.30,0,0,0
SQC,20100205,142.63,142.63,129.27,139.82,400,156.90,156.90,142.20,153.80,0,0,0
SQC,20100208,131.82,136.27,131.82,136.27,300,145.00,149.90,145.00,149.90,0,0,0
SQC,20100209,134.45,141.82,124.00,138.18,700,147.90,156.00,136.40,152.00,0,0,0
SQC,20100210,143.36,143.36,143.27,143.36,300,157.70,157.70,157.60,157.70,0,0,0
SQC,20100211,133.63,139.09,133.63,139.09,200,147.00,153.00,147.00,153.00,0,0,0
SQC,20100212,145.91,145.91,141.73,141.73,400,160.50,160.50,155.90,155.90,0,0,0
SQC,20100222,145.82,152.18,133.64,137.27,900,160.40,167.40,147.00,151.00,0,0,300
SQC,20100223,140.82,140.82,129.54,139.00,700,154.90,154.90,142.50,152.90,0,0,0
SQC,20100224,140.82,140.82,126.18,140.00,1400,154.90,154.90,138.80,154.00,0,0,0
SQC,20100225,139.00,139.00,139.00,139.00,100,152.90,152.90,152.90,152.90,0,0,0
SQC,20100226,129.55,140.27,129.27,130.00,500,142.50,154.30,142.20,143.00,0,0,300
SQC,20100301,140.91,140.91,136.18,138.09,400,155.00,155.00,149.80,151.90,0,0,0
SQC,20100302,143.54,143.54,128.64,135.45,1000,157.90,157.90,141.50,149.00,0,0,300
SQC,20100303,142.54,142.54,135.45,136.36,700,156.80,156.80,149.00,150.00,0,0,0
SQC,20100304,139.09,139.09,128.81,133.64,500,153.00,153.00,141.70,147.00,0,0,0
SQC,20100305,127.28,136.09,126.46,128.18,2100,140.00,149.70,139.10,141.00,0,0,0
SQC,20100308,120.09,133.63,120.09,129.09,900,132.10,147.00,132.10,142.00,0,0,0
SQC,20100309,129.00,130.82,120.18,130.82,1100,141.90,143.90,132.20,143.90,0,0,0
SQC,20100310,134.46,134.46,124.64,132.73,500,147.90,147.90,137.10,146.00,0,0,200
SQC,20100311,121.91,130.28,121.82,129.09,500,134.10,143.30,134.00,142.00,0,0,200
SQC,20100312,133.91,133.91,120.00,125.18,6700,147.30,147.30,132.00,137.70,0,100,200
SQC,20100315,131.73,133.63,125.91,126.00,3500,144.90,147.00,138.50,138.60,0,0,400
SQC,20100316,127.64,127.64,120.91,122.73,1900,140.40,140.40,133.00,135.00,0,0,0
SQC,20100317,115.46,126.37,115.46,126.36,2600,127.00,139.00,127.00,139.00,0,0,0
SQC,20100318,115.45,123.27,115.45,123.18,1900,127.00,135.60,127.00,135.50,0,0,0
SQC,20100319,122.18,124.82,122.18,124.82,1900,134.40,137.30,134.40,137.30,0,0,0
SQC,20100322,122.46,122.46,120.91,122.45,1500,134.70,134.70,133.00,134.70,0,0,0
SQC,20100323,121.81,121.81,121.81,121.82,600,134.00,134.00,134.00,134.00,0,0,0
SQC,20100324,121.82,122.64,121.82,122.64,200,134.00,134.90,134.00,134.90,0,0,0
SQC,20100325,113.73,116.37,113.73,116.36,300,125.10,128.00,125.10,128.00,0,0,0
SQC,20100326,108.18,122.63,108.18,122.64,6300,119.00,134.90,119.00,134.90,0,4700,0
SQC,20100329,118.19,129.00,118.19,118.18,4500,130.00,141.90,130.00,130.00,0,0,0
SQC,20100330,117.73,117.73,117.73,117.73,2000,129.50,129.50,129.50,129.50,0,0,0
SQC,20100331,117.28,117.28,117.28,117.27,500,129.00,129.00,129.00,129.00,0,0,0
SQC,20100401,117.27,117.27,117.27,117.27,100,129.00,129.00,129.00,129.00,0,0,0
SQC,20100402,109.54,117.27,109.54,117.27,600,120.50,129.00,120.50,129.00,0,0,0
SQC,20100405,116.27,116.27,116.27,116.27,900,127.90,127.90,127.90,127.90,0,0,0
SQC,20100406,122.63,122.63,116.36,116.36,1400,134.90,134.90,128.00,128.00,0,0,0
SQC,20100407,121.72,121.72,110.91,117.27,400,133.90,133.90,122.00,129.00,0,0,0
SQC,20100408,118.09,118.09,118.09,118.09,200,129.90,129.90,129.90,129.90,0,0,0
