<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SSC,20050301,7.93,7.93,7.93,7.93,27280,30.80,30.80,30.80,30.80,0,0,0
SSC,20050302,8.03,8.24,8.03,8.24,15580,31.20,32.00,31.20,32.00,0,0,0
SSC,20050303,8.47,8.47,8.37,8.37,7260,32.90,32.90,32.50,32.50,0,0,0
SSC,20050304,8.37,8.37,8.34,8.34,14880,32.50,32.50,32.40,32.40,0,0,0
SSC,20050307,8.34,8.37,8.34,8.37,4230,32.40,32.50,32.40,32.50,0,0,0
SSC,20050308,8.37,8.37,8.19,8.19,8690,32.50,32.50,31.80,31.80,0,0,0
SSC,20050309,8.19,8.19,8.19,8.19,2100,31.80,31.80,31.80,31.80,0,0,0
SSC,20050310,8.19,8.19,8.19,8.19,1000,31.80,31.80,31.80,31.80,0,0,0
SSC,20050311,8.19,8.24,8.19,8.24,1500,31.80,32.00,31.80,32.00,0,0,0
SSC,20050314,8.24,8.24,8.24,8.24,4500,32.00,32.00,32.00,32.00,0,0,0
SSC,20050315,8.24,8.37,8.24,8.37,15450,32.00,32.50,32.00,32.50,0,0,0
SSC,20050316,8.37,8.45,8.37,8.45,7410,32.50,32.80,32.50,32.80,0,0,0
SSC,20050317,8.50,8.50,8.45,8.45,6900,33.00,33.00,32.80,32.80,0,0,0
SSC,20050318,8.50,8.50,8.50,8.50,23530,33.00,33.00,33.00,33.00,0,0,0
SSC,20050321,8.50,8.50,8.50,8.50,9200,33.00,33.00,33.00,33.00,0,0,0
SSC,20050322,8.50,8.83,8.50,8.83,15470,33.00,34.30,33.00,34.30,0,0,0
SSC,20050323,8.83,8.83,8.83,8.83,21590,34.30,34.30,34.30,34.30,0,0,0
SSC,20050324,9.01,9.01,9.01,9.01,13910,35.00,35.00,35.00,35.00,0,0,0
SSC,20050325,9.14,9.14,9.01,9.01,4140,35.50,35.50,35.00,35.00,0,0,0
SSC,20050328,9.01,9.01,8.96,8.96,7260,35.00,35.00,34.80,34.80,0,0,0
SSC,20050329,8.81,8.91,8.81,8.91,4430,34.20,34.60,34.20,34.60,0,0,0
SSC,20050330,9.01,9.01,8.99,8.99,13910,35.00,35.00,34.90,34.90,0,0,0
SSC,20050331,9.02,9.02,9.02,9.01,11630,35.00,35.00,35.00,35.00,0,0,0
SSC,20050401,9.01,9.01,8.98,8.99,10180,35.00,35.00,34.90,34.90,0,0,0
SSC,20050404,8.99,8.99,8.94,8.94,1500,34.90,34.90,34.70,34.70,0,0,0
SSC,20050405,8.97,8.99,8.97,8.99,5600,34.80,34.90,34.80,34.90,0,0,0
SSC,20050406,8.99,8.99,8.96,8.96,6500,34.90,34.90,34.80,34.80,0,0,0
SSC,20050407,8.96,8.96,8.93,8.94,16060,34.80,34.80,34.70,34.70,0,0,0
SSC,20050408,8.94,8.94,8.94,8.94,5470,34.70,34.70,34.70,34.70,0,0,0
SSC,20050411,8.94,8.94,8.94,8.94,1010,34.70,34.70,34.70,34.70,0,0,0
SSC,20050412,8.94,8.97,8.94,8.96,6260,34.70,34.80,34.70,34.80,0,0,0
SSC,20050413,8.93,8.93,8.93,8.94,7920,34.70,34.70,34.70,34.70,0,0,0
SSC,20050414,8.91,8.94,8.91,8.94,6000,34.60,34.70,34.60,34.70,0,0,0
SSC,20050415,8.94,8.94,8.94,8.94,2050,34.70,34.70,34.70,34.70,0,0,0
SSC,20050418,8.94,8.94,8.91,8.91,4120,34.70,34.70,34.60,34.60,0,0,0
SSC,20050419,8.91,8.91,8.91,8.91,4270,34.60,34.60,34.60,34.60,0,0,0
SSC,20050420,8.91,8.91,8.88,8.89,7020,34.60,34.60,34.50,34.50,0,0,0
SSC,20050421,8.89,8.92,8.89,8.91,16250,34.50,34.60,34.50,34.60,0,0,0
SSC,20050422,8.91,8.91,8.91,8.91,1560,34.60,34.60,34.60,34.60,0,0,0
SSC,20050425,8.91,8.91,8.91,8.91,7350,34.60,34.60,34.60,34.60,0,0,0
SSC,20050426,8.91,8.96,8.91,8.96,1580,34.60,34.80,34.60,34.80,0,0,0
SSC,20050427,9.35,9.35,9.01,9.01,3030,36.30,36.30,35.00,35.00,0,0,0
SSC,20050428,8.96,9.01,8.96,9.01,2180,34.80,35.00,34.80,35.00,0,0,0
SSC,20050429,8.96,8.96,8.96,8.96,7500,34.80,34.80,34.80,34.80,0,0,0
SSC,20050504,8.96,8.99,8.96,8.99,10,34.80,34.90,34.80,34.90,0,0,0
SSC,20050505,8.99,8.99,8.94,8.94,3000,34.90,34.90,34.70,34.70,0,0,0
SSC,20050506,8.97,8.97,8.97,8.96,4650,34.80,34.80,34.80,34.80,0,0,0
SSC,20050509,8.96,8.96,8.91,8.91,8000,34.80,34.80,34.60,34.60,0,0,0
SSC,20050510,8.96,8.96,8.94,8.94,3510,34.80,34.80,34.70,34.70,0,0,0
SSC,20050511,8.91,8.91,8.91,8.91,9000,34.60,34.60,34.60,34.60,0,0,0
SSC,20050512,8.88,8.88,8.88,8.89,4230,34.50,34.50,34.50,34.50,0,0,0
SSC,20050513,8.92,8.92,8.92,8.91,7510,34.60,34.60,34.60,34.60,0,0,0
SSC,20050516,8.91,8.91,8.88,8.89,1400,34.60,34.60,34.50,34.50,0,0,0
SSC,20050517,8.86,8.86,8.79,8.78,4000,34.40,34.40,34.10,34.10,0,0,0
SSC,20050518,8.78,8.78,8.78,8.78,920,34.10,34.10,34.10,34.10,0,0,0
SSC,20050519,8.78,8.86,8.78,8.86,1530,34.10,34.40,34.10,34.40,0,0,0
SSC,20050520,8.91,8.91,8.91,8.91,9690,34.60,34.60,34.60,34.60,0,0,0
SSC,20050523,8.88,8.91,8.88,8.91,3700,34.50,34.60,34.50,34.60,0,0,0
SSC,20050524,8.91,8.94,8.91,8.94,10,34.60,34.70,34.60,34.70,0,0,0
SSC,20050525,8.94,8.94,8.94,8.94,3000,34.70,34.70,34.70,34.70,0,0,0
SSC,20050526,8.94,8.94,8.91,8.91,1150,34.70,34.70,34.60,34.60,0,0,0
SSC,20050527,8.91,8.96,8.91,8.96,10,34.60,34.80,34.60,34.80,0,0,0
SSC,20050530,8.91,8.91,8.91,8.91,4840,34.60,34.60,34.60,34.60,0,0,0
SSC,20050531,8.94,8.94,8.94,8.94,2800,34.70,34.70,34.70,34.70,0,0,0
SSC,20050601,8.89,8.97,8.89,8.96,10330,34.50,34.80,34.50,34.80,0,0,0
SSC,20050602,8.96,9.01,8.96,9.01,1010,34.80,35.00,34.80,35.00,0,0,0
SSC,20050603,9.11,9.11,9.01,9.01,3560,35.40,35.40,35.00,35.00,0,0,0
SSC,20050606,9.01,9.01,9.01,9.01,2610,35.00,35.00,35.00,35.00,0,0,0
SSC,20050607,9.06,9.09,9.06,9.09,900,35.20,35.30,35.20,35.30,0,0,0
SSC,20050608,9.12,9.14,9.12,9.14,6770,35.40,35.50,35.40,35.50,0,0,0
SSC,20050609,9.17,9.17,9.17,9.17,11280,35.60,35.60,35.60,35.60,0,0,0
SSC,20050610,9.17,9.17,9.17,9.17,1500,35.60,35.60,35.60,35.60,0,0,0
SSC,20050613,9.17,9.17,9.14,9.14,100,35.60,35.60,35.50,35.50,0,0,0
SSC,20050615,9.14,9.14,9.14,9.14,20700,35.50,35.50,35.50,35.50,0,0,0
SSC,20050616,9.14,9.14,9.14,9.14,5380,35.50,35.50,35.50,35.50,0,0,0
SSC,20050617,9.14,9.14,9.14,9.14,100,35.50,35.50,35.50,35.50,0,0,0
SSC,20050620,9.14,9.17,9.14,9.17,22800,35.50,35.60,35.50,35.60,0,0,0
SSC,20050621,9.20,9.22,9.20,9.22,5530,35.70,35.80,35.70,35.80,0,0,0
SSC,20050622,9.61,9.61,9.22,9.22,600,37.30,37.30,35.80,35.80,0,0,0
SSC,20050623,9.22,9.25,9.22,9.25,520,35.80,35.90,35.80,35.90,0,0,0
SSC,20050624,9.22,9.22,9.22,9.22,7280,35.80,35.80,35.80,35.80,0,0,0
SSC,20050627,9.22,9.22,9.22,9.22,12700,35.80,35.80,35.80,35.80,0,0,0
SSC,20050628,9.01,9.01,8.99,8.99,4700,35.00,35.00,34.90,34.90,0,0,0
SSC,20050629,8.99,8.99,8.99,8.99,5030,34.90,34.90,34.90,34.90,0,0,0
SSC,20050630,9.20,9.20,9.20,9.19,150,35.70,35.70,35.70,35.70,0,0,0
SSC,20050701,9.11,9.11,9.11,9.12,10530,35.40,35.40,35.40,35.40,0,0,0
SSC,20050704,9.12,9.12,9.12,9.12,2670,35.40,35.40,35.40,35.40,0,0,0
SSC,20050705,9.09,9.12,9.09,9.12,350,35.30,35.40,35.30,35.40,0,0,0
SSC,20050706,9.15,9.15,9.15,9.14,100,35.50,35.50,35.50,35.50,0,0,0
SSC,20050707,9.11,9.11,9.09,9.09,13120,35.40,35.40,35.30,35.30,0,0,0
SSC,20050708,9.09,9.12,9.09,9.12,9980,35.30,35.40,35.30,35.40,0,0,0
SSC,20050711,9.12,9.12,9.12,9.12,6850,35.40,35.40,35.40,35.40,0,0,0
SSC,20050712,9.12,9.12,9.12,9.12,20360,35.40,35.40,35.40,35.40,0,0,0
SSC,20050713,9.12,9.15,9.12,9.14,7000,35.40,35.50,35.40,35.50,0,0,0
SSC,20050714,9.19,9.19,9.19,9.19,11280,35.70,35.70,35.70,35.70,0,0,0
SSC,20050715,9.22,9.22,9.22,9.22,7980,35.80,35.80,35.80,35.80,0,0,0
SSC,20050718,9.22,9.22,9.22,9.22,1930,35.80,35.80,35.80,35.80,0,0,0
SSC,20050719,9.22,9.25,9.22,9.25,3450,35.80,35.90,35.80,35.90,0,0,0
SSC,20050720,9.28,9.28,9.28,9.27,21800,36.00,36.00,36.00,36.00,0,0,0
SSC,20050721,9.27,9.35,9.27,9.35,7640,36.00,36.30,36.00,36.30,0,0,0
