<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
STP,20061009,3.83,4.28,3.83,4.14,16700,22.00,24.60,22.00,23.80,0,0,0
STP,20061010,4.19,4.26,4.00,4.11,7800,24.10,24.50,23.00,23.60,10000,0,0
STP,20061011,4.18,4.18,4.09,4.13,8100,24.00,24.00,23.50,23.70,0,0,0
STP,20061012,4.16,4.16,4.13,4.14,3400,23.90,23.90,23.70,23.80,0,0,0
STP,20061013,4.14,4.16,4.12,4.14,17800,23.80,23.90,23.70,23.80,0,0,0
STP,20061016,4.17,4.17,4.16,4.18,7100,24.00,24.00,23.90,24.00,5800,0,0
STP,20061017,4.32,4.32,4.15,4.16,11100,24.80,24.80,23.80,23.90,0,0,0
STP,20061018,4.18,4.18,4.11,4.14,3900,24.00,24.00,23.60,23.80,5200,0,0
STP,20061019,4.11,4.16,4.11,4.13,9100,23.60,23.90,23.60,23.70,0,0,0
STP,20061020,4.13,4.13,4.10,4.13,5300,23.70,23.70,23.50,23.70,0,0,0
STP,20061023,4.10,4.11,4.10,4.09,1400,23.50,23.60,23.50,23.50,0,0,0
STP,20061024,4.09,4.09,4.07,4.09,300,23.50,23.50,23.40,23.50,0,0,0
STP,20061025,4.00,4.04,4.00,4.02,1700,23.00,23.20,23.00,23.10,0,0,0
STP,20061026,4.00,4.00,3.99,4.00,600,23.00,23.00,22.90,23.00,0,0,0
STP,20061027,4.00,4.00,4.00,4.00,400,23.00,23.00,23.00,23.00,0,0,0
STP,20061030,3.91,3.91,3.83,3.88,1000,22.50,22.50,22.00,22.30,0,0,0
STP,20061031,4.00,4.00,3.86,3.93,200,23.00,23.00,22.20,22.60,0,0,0
STP,20061101,3.88,3.95,3.88,3.92,2200,22.30,22.70,22.30,22.50,0,0,0
STP,20061102,3.83,3.89,3.83,3.85,2300,22.00,22.30,22.00,22.10,0,0,0
STP,20061103,3.92,3.92,3.87,3.88,8000,22.50,22.50,22.20,22.30,0,0,0
STP,20061106,3.91,3.91,3.88,3.90,13300,22.50,22.50,22.30,22.40,0,0,0
STP,20061107,3.92,4.00,3.92,3.99,4600,22.50,23.00,22.50,22.90,0,0,0
STP,20061108,4.04,4.11,4.01,4.07,6600,23.20,23.60,23.00,23.40,0,0,0
STP,20061109,4.09,4.17,4.09,4.14,10800,23.50,24.00,23.50,23.80,0,0,0
STP,20061110,4.35,4.35,4.17,4.20,3400,25.00,25.00,24.00,24.10,0,0,0
STP,20061113,4.27,4.27,4.18,4.20,6200,24.50,24.50,24.00,24.10,0,0,0
STP,20061114,4.08,4.08,4.01,4.02,7000,23.40,23.40,23.00,23.10,0,0,0
STP,20061115,4.00,4.02,4.00,4.02,3100,23.00,23.10,23.00,23.10,0,0,0
