<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TAC,20061226,27.88,27.88,27.88,27.88,610,75.00,75.00,75.00,75.00,0,0,0
TAC,20061227,26.58,26.58,26.58,26.58,19930,71.50,71.50,71.50,71.50,0,10,0
TAC,20061228,25.28,25.28,25.28,25.28,11680,68.00,68.00,68.00,68.00,0,0,0
TAC,20061229,24.16,24.16,24.16,24.16,6090,65.00,65.00,65.00,65.00,0,0,0
TAC,20070102,23.04,23.04,23.04,23.05,4620,62.00,62.00,62.00,62.00,0,0,0
TAC,20070103,22.68,22.68,21.93,22.67,78760,61.00,61.00,59.00,61.00,0,0,0
TAC,20070104,23.78,23.78,23.78,23.79,92180,64.00,64.00,64.00,64.00,0,0,0
TAC,20070105,24.16,24.16,23.79,23.79,88740,65.00,65.00,64.00,64.00,0,0,0
TAC,20070108,23.42,23.42,22.67,23.42,85840,63.00,63.00,61.00,63.00,0,0,0
TAC,20070109,23.05,23.05,23.05,23.05,36400,62.00,62.00,62.00,62.00,0,0,0
TAC,20070110,23.05,23.05,22.68,22.67,50430,62.00,62.00,61.00,61.00,0,100,0
TAC,20070111,22.67,22.67,22.30,22.30,43810,61.00,61.00,60.00,60.00,0,900,100
TAC,20070112,22.30,22.30,22.30,22.30,45860,60.00,60.00,60.00,60.00,0,0,0
TAC,20070115,22.30,22.30,22.30,22.30,30400,60.00,60.00,60.00,60.00,0,1000,0
TAC,20070116,22.30,23.04,22.30,23.05,138950,60.00,62.00,60.00,62.00,0,0,30000
TAC,20070117,24.17,24.17,23.79,23.79,112340,65.00,65.00,64.00,64.00,0,0,900
TAC,20070118,23.05,23.05,22.67,23.05,41700,62.00,62.00,61.00,62.00,0,0,0
TAC,20070119,23.05,23.05,22.31,22.30,37430,62.00,62.00,60.00,60.00,0,400,0
TAC,20070122,22.67,22.30,21.56,21.56,43980,61.00,60.00,58.00,58.00,0,0,0
TAC,20070123,21.56,21.93,21.56,21.93,70090,58.00,59.00,58.00,59.00,0,20000,0
