<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TCO,20091006,6.76,6.76,4.15,4.15,5010,14.00,14.00,8.60,8.60,0,0,0
TCO,20091013,5.31,5.31,5.31,5.31,10,11.00,11.00,11.00,11.00,0,0,0
TCO,20091015,5.31,5.31,5.31,5.31,2350,11.00,11.00,11.00,11.00,0,0,0
TCO,20091016,5.79,5.79,5.79,5.80,1150,12.00,12.00,12.00,12.00,0,0,0
TCO,20091020,6.86,6.86,6.86,6.86,1000,14.20,14.20,14.20,14.20,0,0,0
TCO,20091022,7.25,7.25,7.25,7.24,1020,15.00,15.00,15.00,15.00,0,0,0
TCO,20091023,7.96,7.96,7.96,7.97,10020,16.50,16.50,16.50,16.50,0,0,0
TCO,20091026,7.83,7.83,7.83,7.82,1000,16.20,16.20,16.20,16.20,0,0,0
TCO,20091124,7.82,7.82,7.82,7.82,20000,16.20,16.20,16.20,16.20,0,0,0
TCO,20100209,7.82,7.82,7.82,7.82,10000,16.20,16.20,16.20,16.20,0,0,0
TCO,20100416,7.73,7.73,7.73,7.73,1000,16.00,16.00,16.00,16.00,0,0,0
TCO,20100427,7.73,7.73,7.73,7.73,23592,16.00,16.00,16.00,16.00,0,0,0
TCO,20100525,7.73,7.73,7.73,7.73,165000,16.00,16.00,16.00,16.00,0,0,0
TCO,20100527,7.73,7.73,7.73,7.73,10000,16.00,16.00,16.00,16.00,0,0,0
TCO,20100611,7.63,7.63,7.63,7.63,9300,15.80,15.80,15.80,15.80,0,0,0
TCO,20100622,7.00,7.00,7.00,7.00,5000,14.50,14.50,14.50,14.50,0,0,0
TCO,20100702,7.68,7.68,7.68,7.68,3530,15.90,15.90,15.90,15.90,0,0,0
TCO,20100705,7.68,8.21,7.68,8.21,6000,15.90,17.00,15.90,17.00,0,0,0
TCO,20100707,8.79,8.79,8.79,8.79,1000,18.20,18.20,18.20,18.20,0,0,0
TCO,20100708,9.66,9.66,9.66,9.66,1000,20.00,20.00,20.00,20.00,0,0,0
TCO,20100709,10.58,10.58,10.58,10.58,500,21.90,21.90,21.90,21.90,0,0,0
TCO,20100712,11.35,11.35,11.35,11.35,100,23.50,23.50,23.50,23.50,0,0,0
TCO,20100713,12.46,12.46,12.46,12.46,10,25.80,25.80,25.80,25.80,0,0,0
TCO,20100714,13.67,13.67,13.67,13.67,10,28.30,28.30,28.30,28.30,0,0,0
TCO,20100728,13.67,13.67,13.67,13.67,4380,28.30,28.30,28.30,28.30,0,0,0
TCO,20100802,15.02,15.02,15.02,15.02,1000,31.10,31.10,31.10,31.10,0,0,0
TCO,20100806,15.45,15.45,15.45,15.45,6000,32.00,32.00,32.00,32.00,0,0,0
TCO,20100811,15.45,15.45,15.45,15.45,13000,32.00,32.00,32.00,32.00,0,0,0
TCO,20100812,15.45,15.45,15.45,15.45,3000,32.00,32.00,32.00,32.00,0,0,0
TCO,20100813,13.90,13.90,13.90,13.91,1600,28.80,28.80,28.80,28.80,0,0,0
TCO,20100816,12.56,12.56,12.56,12.56,1600,26.00,26.00,26.00,26.00,0,0,0
TCO,20100817,11.30,11.30,11.30,11.30,100,23.40,23.40,23.40,23.40,0,0,0
TCO,20100818,10.19,10.19,10.19,10.19,3100,21.10,21.10,21.10,21.10,0,0,0
TCO,20100819,9.18,9.18,9.18,9.18,1600,19.00,19.00,19.00,19.00,0,0,0
TCO,20100820,8.26,8.26,8.26,8.26,51600,17.10,17.10,17.10,17.10,0,0,0
TCO,20100823,7.44,7.44,7.44,7.44,100,15.40,15.40,15.40,15.40,0,0,0
TCO,20100824,6.72,6.72,6.72,6.71,100,13.90,13.90,13.90,13.90,0,0,0
TCO,20100825,6.08,6.08,6.08,6.08,4600,12.60,12.60,12.60,12.60,0,0,0
TCO,20100830,5.50,5.50,5.50,5.51,300,11.40,11.40,11.40,11.40,0,0,0
TCO,20100901,5.32,5.32,5.08,5.07,5100,11.00,11.00,10.50,10.50,0,0,0
TCO,20100906,5.02,5.02,5.02,5.02,2000,10.40,10.40,10.40,10.40,0,0,0
TCO,20100907,5.02,5.02,5.02,5.02,20000,10.40,10.40,10.40,10.40,0,0,0
TCO,20100909,4.54,5.31,4.54,5.31,3400,9.40,11.00,9.40,11.00,0,0,0
TCO,20100910,5.07,5.07,5.07,5.07,200,10.50,10.50,10.50,10.50,0,0,0
TCO,20100913,5.07,5.07,5.07,5.07,6000,10.50,10.50,10.50,10.50,0,0,0
TCO,20100914,5.21,5.21,5.21,5.22,25100,10.80,10.80,10.80,10.80,0,0,0
TCO,20100917,4.74,4.74,4.74,4.73,6900,9.80,9.80,9.80,9.80,0,0,0
TCO,20100921,5.07,5.07,5.07,5.07,100,10.50,10.50,10.50,10.50,0,0,0
TCO,20100922,5.55,5.55,5.55,5.55,100,11.50,11.50,11.50,11.50,0,0,0
TCO,20100923,5.55,5.55,5.55,5.55,6000,11.50,11.50,11.50,11.50,0,0,0
TCO,20100927,5.31,5.55,5.31,5.55,4000,11.00,11.50,11.00,11.50,0,0,0
