<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TRA,20081126,10.31,10.31,10.31,10.31,630,63.50,63.50,63.50,63.50,0,0,0
TRA,20081127,10.31,10.31,9.82,9.83,20,63.50,63.50,60.50,60.50,0,0,0
TRA,20081128,9.34,9.34,9.34,9.34,150,57.50,57.50,57.50,57.50,0,0,0
TRA,20081201,8.93,8.93,8.93,8.93,10,55.00,55.00,55.00,55.00,0,0,0
TRA,20081202,8.52,8.52,8.52,8.53,100,52.50,52.50,52.50,52.50,0,0,0
TRA,20081203,8.11,8.11,8.11,8.10,10020,49.90,49.90,49.90,49.90,0,0,0
TRA,20081204,7.71,7.71,7.71,7.71,1920,46.90,46.90,46.90,46.90,0,0,0
TRA,20081205,7.33,7.33,7.33,7.33,1010,44.60,44.60,44.60,44.60,0,0,0
TRA,20081208,6.97,6.97,6.97,6.97,2100,42.40,42.40,42.40,42.40,0,0,0
TRA,20081209,6.62,6.90,6.62,6.63,35160,40.30,42.00,40.30,40.30,0,0,0
TRA,20081210,6.30,6.58,6.30,6.33,35350,38.30,40.00,38.30,38.50,0,6690,0
TRA,20081211,6.49,6.64,6.41,6.64,25530,39.50,40.40,39.00,40.40,0,0,0
TRA,20081212,6.97,6.97,6.97,6.97,22500,42.40,42.40,42.40,42.40,0,0,0
TRA,20081215,7.32,7.32,7.25,7.32,19780,44.50,44.50,44.10,44.50,0,170,0
TRA,20081216,7.32,7.32,7.02,7.07,23800,44.50,44.50,42.70,43.00,0,10000,0
TRA,20081217,7.07,7.07,6.74,7.07,21080,43.00,43.00,41.00,43.00,0,5000,0
TRA,20081218,7.07,7.15,6.91,7.07,4400,43.00,43.50,42.00,43.00,0,0,0
TRA,20081219,7.05,7.05,6.99,6.99,5650,42.90,42.90,42.50,42.50,0,4880,0
TRA,20081222,7.07,7.07,6.74,6.74,10110,43.00,43.00,41.00,41.00,0,0,0
TRA,20081223,6.51,6.66,6.51,6.66,4290,39.60,40.50,39.60,40.50,0,1790,0
TRA,20081224,6.33,6.50,6.33,6.49,2650,38.50,39.50,38.50,39.50,0,0,0
TRA,20081225,6.49,6.57,6.49,6.58,2360,39.50,40.00,39.50,40.00,0,0,0
TRA,20081226,6.73,6.73,6.58,6.72,9600,40.90,40.90,40.00,40.90,0,5000,0
TRA,20081229,6.57,6.90,6.57,6.90,310,40.00,42.00,40.00,42.00,0,0,0
TRA,20081230,6.90,7.06,6.90,7.07,6010,42.00,43.00,42.00,43.00,0,3080,0
TRA,20081231,7.15,7.15,6.91,6.90,4010,43.50,43.50,42.00,42.00,0,0,0
TRA,20090102,6.74,6.74,6.74,6.74,2120,41.00,41.00,41.00,41.00,0,0,0
TRA,20090106,6.74,6.87,6.74,6.87,420,41.00,41.80,41.00,41.80,0,0,0
TRA,20090107,6.99,7.07,6.74,6.74,5420,42.50,43.00,41.00,41.00,0,0,0
TRA,20090108,6.59,6.89,6.58,6.89,10240,40.10,41.90,40.00,41.90,0,0,0
TRA,20090109,6.82,6.91,6.82,6.90,1510,41.50,42.00,41.50,42.00,0,20,0
TRA,20090112,7.13,7.13,6.90,6.90,3700,43.40,43.40,42.00,42.00,0,0,0
TRA,20090113,6.87,6.87,6.87,6.87,1120,41.80,41.80,41.80,41.80,0,0,0
TRA,20090114,6.75,6.75,6.75,6.76,490,41.10,41.10,41.10,41.10,0,0,0
TRA,20090115,6.74,6.76,6.74,6.76,4000,41.00,41.10,41.00,41.10,0,0,0
TRA,20090116,6.76,6.76,6.74,6.74,2260,41.10,41.10,41.00,41.00,0,0,0
TRA,20090119,6.43,6.46,6.43,6.46,2700,39.10,39.30,39.10,39.30,0,0,0
TRA,20090120,6.33,6.66,6.33,6.40,210,38.50,40.50,38.50,38.90,0,0,0
TRA,20090121,6.42,6.60,6.40,6.40,5610,39.00,40.10,38.90,38.90,0,0,0
TRA,20090122,6.43,6.50,6.42,6.41,9570,39.10,39.50,39.00,39.00,0,0,0
TRA,20090123,6.57,6.61,6.57,6.61,2380,40.00,40.20,40.00,40.20,0,0,0
TRA,20090202,6.58,6.58,6.41,6.58,1330,40.00,40.00,39.00,40.00,0,0,0
TRA,20090203,6.58,6.58,6.33,6.33,1260,40.00,40.00,38.50,38.50,0,0,0
TRA,20090204,6.23,6.41,6.21,6.33,3850,37.90,39.00,37.80,38.50,0,0,0
TRA,20090205,6.33,6.33,6.30,6.30,12380,38.50,38.50,38.30,38.30,0,0,0
TRA,20090206,6.42,6.42,6.42,6.41,1410,39.00,39.00,39.00,39.00,0,0,0
TRA,20090209,6.66,6.66,6.66,6.66,650,40.50,40.50,40.50,40.50,0,0,0
TRA,20090210,6.41,6.41,6.38,6.38,1400,39.00,39.00,38.80,38.80,0,0,0
TRA,20090211,6.38,6.41,6.38,6.41,6450,38.80,39.00,38.80,39.00,0,4950,4950
TRA,20090212,6.49,6.49,6.34,6.35,1090,39.50,39.50,38.60,38.60,0,0,0
TRA,20090213,6.48,6.48,6.42,6.41,620,39.40,39.40,39.00,39.00,0,0,0
TRA,20090216,6.41,6.43,6.41,6.41,1110,39.00,39.10,39.00,39.00,0,0,0
TRA,20090217,6.41,6.46,6.34,6.46,3210,39.00,39.30,38.60,39.30,0,0,0
TRA,20090218,6.41,6.41,6.25,6.25,5140,39.00,39.00,38.00,38.00,0,0,0
TRA,20090219,6.25,6.33,6.02,6.02,1530,38.00,38.50,36.60,36.60,0,0,0
TRA,20090220,6.32,6.32,6.32,6.31,10,38.40,38.40,38.40,38.40,0,0,0
