<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
UDJ,20091225,5.40,5.40,5.06,5.06,3000,16.00,16.00,15.00,15.00,0,0,0
UDJ,20091228,5.40,5.40,5.40,5.40,3000,16.00,16.00,16.00,16.00,0,0,0
UDJ,20091229,5.40,5.40,5.40,5.40,2000,16.00,16.00,16.00,16.00,0,0,0
UDJ,20091230,5.40,5.40,5.40,5.40,1500,16.00,16.00,16.00,16.00,0,0,0
UDJ,20091231,5.74,5.74,5.74,5.74,2000,17.00,17.00,17.00,17.00,0,0,0
UDJ,20100104,5.74,5.94,5.74,5.91,29000,17.00,17.60,17.00,17.50,0,0,0
UDJ,20100105,5.94,5.98,5.34,5.57,52000,17.60,17.70,15.80,16.50,0,0,0
UDJ,20100108,5.03,6.07,4.99,5.00,3610,14.00,16.90,13.90,13.90,0,0,0
UDJ,20100111,4.68,4.68,4.60,4.60,16000,13.00,13.00,12.80,12.80,0,0,0
UDJ,20100112,4.31,4.64,4.31,4.64,2000,12.00,12.90,12.00,12.90,0,0,0
UDJ,20100113,4.93,4.93,4.93,4.92,24000,13.70,13.70,13.70,13.70,0,0,0
UDJ,20100114,5.03,5.03,5.03,5.03,5000,14.00,14.00,14.00,14.00,0,0,0
UDJ,20100115,5.53,5.53,5.53,5.53,100,15.40,15.40,15.40,15.40,0,0,0
UDJ,20100118,4.99,4.99,4.99,5.00,11000,13.90,13.90,13.90,13.90,0,0,0
UDJ,20100119,5.04,5.04,4.86,4.85,10610,14.00,14.00,13.50,13.50,0,0,0
UDJ,20100121,4.86,4.86,4.86,4.85,10000,13.50,13.50,13.50,13.50,0,0,0
UDJ,20100122,4.89,5.03,4.89,4.89,2500,13.60,14.00,13.60,13.60,0,0,0
UDJ,20100125,5.03,5.03,5.03,5.03,1000,14.00,14.00,14.00,14.00,0,0,0
UDJ,20100126,5.03,5.07,5.03,5.07,11000,14.00,14.10,14.00,14.10,0,0,0
UDJ,20100127,4.85,4.85,4.67,4.67,12000,13.50,13.50,13.00,13.00,0,0,0
UDJ,20100129,4.96,4.96,4.96,4.96,1000,13.80,13.80,13.80,13.80,0,0,0
UDJ,20100201,4.96,5.03,4.96,5.03,5500,13.80,14.00,13.80,14.00,0,0,0
UDJ,20100202,4.96,4.96,4.92,4.92,4000,13.80,13.80,13.70,13.70,0,0,0
UDJ,20100203,4.96,4.96,4.96,4.96,4500,13.80,13.80,13.80,13.80,0,0,0
UDJ,20100204,4.96,4.96,4.92,4.92,10400,13.80,13.80,13.70,13.70,0,0,0
UDJ,20100208,4.92,4.92,4.92,4.92,1000,13.70,13.70,13.70,13.70,0,0,0
UDJ,20100210,4.92,4.92,4.92,4.92,5000,13.70,13.70,13.70,13.70,0,0,0
UDJ,20100225,4.67,4.67,4.60,4.60,2500,13.00,13.00,12.80,12.80,0,0,0
UDJ,20100301,4.68,4.68,4.50,4.64,7000,13.00,13.00,12.50,12.90,0,0,0
UDJ,20100302,4.86,4.86,4.86,4.85,1000,13.50,13.50,13.50,13.50,0,0,0
UDJ,20100303,4.92,4.92,4.92,4.92,1500,13.70,13.70,13.70,13.70,0,0,0
UDJ,20100304,4.92,4.92,4.92,4.92,20000,13.70,13.70,13.70,13.70,0,0,0
UDJ,20100305,4.74,4.74,4.74,4.74,700,13.20,13.20,13.20,13.20,0,0,0
UDJ,20100308,4.27,5.21,4.27,4.85,2500,11.90,14.50,11.90,13.50,0,0,0
UDJ,20100309,4.74,4.74,4.74,4.74,4000,13.20,13.20,13.20,13.20,0,0,0
UDJ,20100310,5.03,5.03,4.81,4.82,4100,14.00,14.00,13.40,13.40,0,0,0
UDJ,20100311,4.89,4.89,4.86,4.85,3100,13.60,13.60,13.50,13.50,0,0,0
UDJ,20100312,4.89,4.96,4.89,4.89,46100,13.60,13.80,13.60,13.60,0,0,0
UDJ,20100315,4.96,5.03,4.96,5.03,20000,13.80,14.00,13.80,14.00,0,0,0
UDJ,20100316,4.96,4.96,4.92,4.96,5500,13.80,13.80,13.70,13.80,0,0,0
UDJ,20100317,4.92,4.96,4.85,4.85,40900,13.70,13.80,13.50,13.50,0,0,0
UDJ,20100318,4.96,4.96,4.89,4.89,22600,13.80,13.80,13.60,13.60,0,0,0
UDJ,20100319,4.93,5.39,4.85,4.85,26100,13.70,15.00,13.50,13.50,0,0,0
UDJ,20100322,4.89,4.89,4.85,4.85,18600,13.60,13.60,13.50,13.50,0,0,0
UDJ,20100323,4.78,4.78,4.67,4.67,31700,13.30,13.30,13.00,13.00,0,0,0
UDJ,20100324,4.74,4.78,4.74,4.78,4400,13.20,13.30,13.20,13.30,0,0,0
