<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VC1,20090514,13.07,13.07,9.98,12.25,92100,28.80,28.80,22.00,27.00,0,0,0
VC1,20090515,12.16,12.16,12.16,12.16,16400,26.80,26.80,26.80,26.80,0,0,0
VC1,20090518,12.98,12.98,12.98,12.98,9200,28.60,28.60,28.60,28.60,0,0,0
VC1,20090519,13.89,13.89,13.89,13.89,8800,30.60,30.60,30.60,30.60,0,0,0
VC1,20090520,14.84,14.84,14.84,14.84,97400,32.70,32.70,32.70,32.70,0,0,0
VC1,20090521,15.84,15.84,15.84,15.84,56300,34.90,34.90,34.90,34.90,0,0,0
VC1,20090522,16.93,16.93,15.89,16.79,140400,37.30,37.30,35.00,37.00,0,0,0
VC1,20090525,17.24,17.24,15.25,16.84,47800,38.00,38.00,33.60,37.10,0,0,0
VC1,20090526,16.79,16.79,15.89,16.11,56500,37.00,37.00,35.00,35.50,0,100,0
VC1,20090527,15.88,16.11,14.98,15.02,33000,35.00,35.50,33.00,33.10,0,0,0
VC1,20090528,15.16,15.16,14.29,14.30,24500,33.40,33.40,31.50,31.50,0,500,0
VC1,20090529,14.62,14.62,13.44,14.52,43800,32.20,32.20,29.60,32.00,0,0,0
VC1,20090601,14.52,14.70,14.52,14.71,13700,32.00,32.40,32.00,32.40,0,0,0
VC1,20090602,15.66,15.66,14.66,15.61,34900,34.50,34.50,32.30,34.40,0,0,0
VC1,20090603,15.29,15.29,14.52,14.75,26400,33.70,33.70,32.00,32.50,0,0,0
VC1,20090604,15.79,15.88,14.93,15.20,55500,34.80,35.00,32.90,33.50,0,0,0
VC1,20090605,15.97,16.06,15.79,15.84,90700,35.20,35.40,34.80,34.90,0,0,0
VC1,20090608,16.34,17.02,15.93,17.02,152500,36.00,37.50,35.10,37.50,0,0,0
VC1,20090609,17.47,17.47,15.89,16.16,38600,38.50,38.50,35.00,35.60,0,0,0
VC1,20090610,15.21,15.25,15.16,15.16,11000,33.50,33.60,33.40,33.40,0,0,0
VC1,20090611,15.43,16.16,15.43,16.02,21800,34.00,35.60,34.00,35.30,0,0,0
VC1,20090612,16.11,16.29,14.98,14.98,45400,35.50,35.90,33.00,33.00,30000,0,0
VC1,20090615,15.34,15.34,14.30,14.30,46000,33.80,33.80,31.50,31.50,0,0,0
VC1,20090616,14.94,14.94,13.35,13.34,20200,32.90,32.90,29.40,29.40,0,0,0
VC1,20090617,12.66,13.61,12.66,13.39,37100,27.90,30.00,27.90,29.50,0,0,0
VC1,20090618,13.62,13.98,13.62,13.93,20100,30.00,30.80,30.00,30.70,0,0,0
VC1,20090619,14.07,14.07,12.98,13.16,13300,31.00,31.00,28.60,29.00,0,0,0
