<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCC,20090205,3.10,3.24,2.48,2.70,6500,11.50,12.00,9.20,10.00,0,0,0
VCC,20090206,2.84,2.84,2.70,2.75,3000,10.50,10.50,10.00,10.20,0,0,0
VCC,20090209,2.83,2.86,2.78,2.86,7000,10.50,10.60,10.30,10.60,0,0,0
VCC,20090210,2.91,2.91,2.86,2.86,2500,10.80,10.80,10.60,10.60,0,0,0
VCC,20090211,2.70,2.81,2.70,2.80,18000,10.00,10.40,10.00,10.40,0,0,0
VCC,20090212,2.80,2.80,2.75,2.75,2000,10.40,10.40,10.20,10.20,0,0,0
VCC,20090213,2.75,2.80,2.75,2.80,2000,10.20,10.40,10.20,10.40,0,0,0
VCC,20090216,2.77,2.77,2.77,2.78,1000,10.30,10.30,10.30,10.30,0,0,0
VCC,20090218,2.59,2.73,2.59,2.59,3100,9.60,10.10,9.60,9.60,0,0,0
VCC,20090219,2.70,2.70,2.59,2.59,3800,10.00,10.00,9.60,9.60,0,0,0
VCC,20090220,2.62,2.62,2.46,2.48,4300,9.70,9.70,9.10,9.20,0,0,0
VCC,20090223,2.48,2.48,2.32,2.43,6200,9.20,9.20,8.60,9.00,0,0,0
VCC,20090224,2.27,2.27,2.27,2.27,100,8.40,8.40,8.40,8.40,0,0,0
VCC,20090225,2.38,2.41,2.38,2.37,4700,8.80,8.90,8.80,8.80,0,0,0
VCC,20090226,2.32,2.40,2.21,2.40,1600,8.60,8.90,8.20,8.90,0,0,0
VCC,20090227,2.32,2.51,2.32,2.43,1400,8.60,9.30,8.60,9.00,0,0,0
VCC,20090303,2.48,2.53,2.48,2.54,500,9.20,9.40,9.20,9.40,0,0,0
VCC,20090304,2.65,2.65,2.65,2.64,200,9.80,9.80,9.80,9.80,0,0,0
VCC,20090305,2.67,2.67,2.64,2.67,2900,9.90,9.90,9.80,9.90,0,0,0
VCC,20090309,2.72,2.72,2.48,2.48,7500,10.10,10.10,9.20,9.20,0,0,0
VCC,20090310,2.70,2.70,2.43,2.43,4300,10.00,10.00,9.00,9.00,0,0,0
VCC,20090311,2.62,2.62,2.62,2.62,200,9.70,9.70,9.70,9.70,0,0,0
VCC,20090312,2.54,2.54,2.54,2.54,1200,9.40,9.40,9.40,9.40,0,0,0
VCC,20090313,2.57,2.68,2.57,2.56,5000,9.50,9.90,9.50,9.50,0,0,0
VCC,20090316,2.67,2.67,2.53,2.54,6300,9.90,9.90,9.40,9.40,0,0,0
VCC,20090317,2.68,2.68,2.65,2.64,6000,9.90,9.90,9.80,9.80,0,0,0
VCC,20090318,2.75,2.75,2.67,2.67,600,10.20,10.20,9.90,9.90,0,0,0
VCC,20090320,2.54,2.54,2.54,2.54,600,9.40,9.40,9.40,9.40,0,0,0
VCC,20090323,2.59,2.70,2.59,2.70,3900,9.60,10.00,9.60,10.00,0,0,0
VCC,20090324,2.84,2.84,2.67,2.83,11900,10.50,10.50,9.90,10.50,0,0,0
VCC,20090325,3.02,3.02,2.99,3.02,15100,11.20,11.20,11.10,11.20,0,0,0
VCC,20090326,3.21,3.21,3.02,3.10,25200,11.90,11.90,11.20,11.50,0,0,0
VCC,20090327,3.23,3.23,3.10,3.10,10400,12.00,12.00,11.50,11.50,0,200,0
VCC,20090330,3.21,3.21,2.94,3.02,14100,11.90,11.90,10.90,11.20,0,100,0
VCC,20090331,2.94,3.07,2.83,3.07,9100,10.90,11.40,10.50,11.40,0,0,0
VCC,20090401,3.02,3.15,3.02,3.16,11700,11.20,11.70,11.20,11.70,0,0,0
VCC,20090402,3.24,3.27,3.19,3.26,18000,12.00,12.10,11.80,12.10,0,0,0
VCC,20090403,3.37,3.45,3.29,3.45,20200,12.50,12.80,12.20,12.80,0,0,0
VCC,20090407,3.37,3.42,3.18,3.43,10700,12.50,12.70,11.80,12.70,0,0,0
VCC,20090408,3.32,3.38,3.24,3.37,8600,12.30,12.50,12.00,12.50,0,0,0
VCC,20090409,3.32,3.50,3.32,3.45,4700,12.30,13.00,12.30,12.80,0,0,0
VCC,20090410,3.48,3.58,3.42,3.45,35400,12.90,13.30,12.70,12.80,0,0,0
VCC,20090413,3.67,3.72,3.64,3.72,28600,13.60,13.80,13.50,13.80,0,0,0
VCC,20090414,3.83,3.83,3.56,3.59,6300,14.20,14.20,13.20,13.30,0,0,0
VCC,20090415,3.91,3.91,3.78,3.91,80000,14.50,14.50,14.00,14.50,0,0,0
VCC,20090416,4.15,4.15,4.15,4.15,92000,15.40,15.40,15.40,15.40,0,0,0
VCC,20090417,4.42,4.42,3.99,4.21,86200,16.40,16.40,14.80,15.60,0,0,0
VCC,20090420,4.40,4.40,4.08,4.07,16400,16.30,16.30,15.10,15.10,0,0,0
VCC,20090421,3.85,3.88,3.85,3.88,32500,14.30,14.40,14.30,14.40,0,0,0
VCC,20090422,3.64,4.04,3.64,4.02,42500,13.50,15.00,13.50,14.90,0,0,0
VCC,20090423,4.05,4.05,3.63,3.63,15200,13.50,13.50,12.10,12.10,0,0,0
VCC,20090424,3.66,3.69,3.63,3.63,10600,12.20,12.30,12.10,12.10,0,0,0
VCC,20090427,3.84,3.84,3.42,3.69,3200,12.80,12.80,11.40,12.30,0,0,0
VCC,20090428,3.45,3.45,3.39,3.39,8500,11.50,11.50,11.30,11.30,0,0,0
VCC,20090429,3.33,3.54,3.33,3.45,8800,11.10,11.80,11.10,11.50,0,0,0
VCC,20090504,3.60,3.75,3.60,3.75,20900,12.00,12.50,12.00,12.50,0,0,0
VCC,20090505,3.96,3.96,3.75,3.75,23600,13.20,13.20,12.50,12.50,0,0,0
VCC,20090506,3.93,3.93,3.66,3.66,6300,13.10,13.10,12.20,12.20,0,0,0
VCC,20090507,3.90,3.90,3.81,3.81,2800,13.00,13.00,12.70,12.70,0,0,0
VCC,20090508,3.60,3.63,3.60,3.63,14700,12.00,12.10,12.00,12.10,0,0,0
VCC,20090511,3.60,3.60,3.48,3.48,11200,12.00,12.00,11.60,11.60,0,0,0
VCC,20090512,3.54,3.66,3.54,3.66,13000,11.80,12.20,11.80,12.20,0,0,0
VCC,20090513,3.63,3.63,3.57,3.60,21000,12.10,12.10,11.90,12.00,0,0,0
VCC,20090514,3.54,3.60,3.54,3.60,8500,11.80,12.00,11.80,12.00,0,0,0
VCC,20090515,3.60,3.60,3.57,3.60,36200,12.00,12.00,11.90,12.00,0,0,400
VCC,20090518,3.60,3.60,3.57,3.60,6400,12.00,12.00,11.90,12.00,0,0,0
VCC,20090519,3.84,3.84,3.69,3.72,34800,12.80,12.80,12.30,12.40,0,0,0
VCC,20090520,3.63,4.02,3.63,4.02,70900,12.10,13.40,12.10,13.40,0,0,0
VCC,20090521,4.14,4.14,3.90,4.14,77400,13.80,13.80,13.00,13.80,0,0,0
VCC,20090522,4.26,4.38,4.20,4.26,43500,14.20,14.60,14.00,14.20,0,0,0
VCC,20090525,4.59,4.59,4.29,4.56,57300,15.30,15.30,14.30,15.20,0,0,0
VCC,20090526,4.38,4.53,4.08,4.20,35300,14.60,15.10,13.60,14.00,0,0,0
VCC,20090527,4.20,4.20,3.99,4.05,44400,14.00,14.00,13.30,13.50,0,0,0
VCC,20090528,4.20,4.20,3.78,3.84,34200,14.00,14.00,12.60,12.80,0,0,0
VCC,20090529,3.81,3.81,3.72,3.81,31300,12.70,12.70,12.40,12.70,0,0,0
VCC,20090601,4.02,4.02,3.93,4.02,11700,13.40,13.40,13.10,13.40,0,0,0
VCC,20090602,4.29,4.29,4.23,4.29,29400,14.30,14.30,14.10,14.30,0,0,0
