<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIT,20091103,14.95,19.94,14.95,18.89,138800,30.00,40.00,30.00,37.90,0,10000,0
VIT,20091104,18.24,18.44,16.95,16.95,6600,36.60,37.00,34.00,34.00,0,0,0
VIT,20091105,17.95,17.95,16.75,16.75,33300,36.00,36.00,33.60,33.60,0,0,0
VIT,20091106,16.95,16.95,15.60,15.60,10100,34.00,34.00,31.30,31.30,0,0,0
VIT,20091109,14.95,14.95,14.60,14.60,16600,30.00,30.00,29.30,29.30,0,0,0
VIT,20091110,13.65,13.65,13.65,13.66,7400,27.40,27.40,27.40,27.40,0,0,0
VIT,20091111,12.71,13.41,12.71,13.41,80100,25.50,26.90,25.50,26.90,0,0,0
VIT,20091112,13.06,13.66,13.06,13.66,13200,26.20,27.40,26.20,27.40,0,0,0
VIT,20091113,13.96,14.26,13.36,14.25,35000,28.00,28.60,26.80,28.60,0,0,0
VIT,20091116,15.10,15.10,14.95,15.10,40900,30.30,30.30,30.00,30.30,0,0,0
VIT,20091117,16.05,16.05,14.95,15.20,47600,32.20,32.20,30.00,30.50,0,0,0
VIT,20091118,15.70,15.70,14.50,15.20,14700,31.50,31.50,29.10,30.50,0,0,0
VIT,20091119,15.40,15.45,14.45,14.45,9600,30.90,31.00,29.00,29.00,0,0,0
VIT,20091120,14.65,14.65,13.95,14.65,4300,29.40,29.40,28.00,29.40,0,0,0
VIT,20091123,14.95,14.95,13.30,13.36,9600,30.00,30.00,26.70,26.80,0,0,0
VIT,20091124,13.56,13.56,13.31,13.46,21300,27.20,27.20,26.70,27.00,0,0,0
VIT,20091125,13.26,13.26,12.56,12.76,34700,26.60,26.60,25.20,25.60,0,0,0
VIT,20091126,12.97,12.97,11.93,11.93,12100,25.00,25.00,23.00,23.00,0,0,0
VIT,20091127,11.93,13.12,11.67,13.12,20600,23.00,25.30,22.50,25.30,0,0,0
VIT,20091130,12.96,13.64,12.96,13.64,5100,25.00,26.30,25.00,26.30,0,0,0
VIT,20091201,14.00,14.37,14.00,14.37,11900,27.00,27.70,27.00,27.70,0,0,0
VIT,20091202,13.49,13.49,13.33,13.33,5200,26.00,26.00,25.70,25.70,0,0,0
VIT,20091203,13.49,13.95,13.49,13.95,200,26.00,26.90,26.00,26.90,0,0,0
VIT,20091204,12.96,12.96,12.96,12.97,2000,25.00,25.00,25.00,25.00,0,0,0
VIT,20091207,12.97,13.49,12.97,13.49,6300,25.00,26.00,25.00,26.00,0,0,0
VIT,20091208,12.71,13.23,12.71,13.23,1500,24.50,25.50,24.50,25.50,0,0,0
VIT,20091209,12.45,12.45,11.98,12.45,5100,24.00,24.00,23.10,24.00,0,0,0
VIT,20091210,12.19,12.19,12.14,12.14,1400,23.50,23.50,23.40,23.40,0,0,0
VIT,20091211,12.19,12.19,11.93,11.93,3400,23.50,23.50,23.00,23.00,0,0,0
VIT,20091214,12.66,12.66,12.66,12.66,1100,24.40,24.40,24.40,24.40,0,0,0
VIT,20091215,11.93,12.04,11.93,11.98,1500,23.00,23.20,23.00,23.10,0,0,0
VIT,20091216,11.41,11.51,11.15,11.15,10800,22.00,22.20,21.50,21.50,0,0,0
VIT,20091217,10.68,10.89,10.68,10.89,4000,20.60,21.00,20.60,21.00,0,0,0
VIT,20091218,11.46,11.46,11.46,11.46,400,22.10,22.10,22.10,22.10,0,0,0
VIT,20091221,12.19,12.24,11.67,12.24,800,23.50,23.60,22.50,23.60,0,0,0
VIT,20091222,12.45,12.71,12.45,12.71,8900,24.00,24.50,24.00,24.50,0,0,3900
VIT,20091223,11.93,12.04,11.93,11.98,2600,23.00,23.20,23.00,23.10,0,0,3900
VIT,20091224,11.67,12.65,11.67,12.45,3000,22.50,24.40,22.50,24.00,0,0,0
VIT,20091225,12.45,13.07,12.45,12.97,19700,24.00,25.20,24.00,25.00,0,0,0
VIT,20091228,12.97,12.97,12.45,12.45,2500,25.00,25.00,24.00,24.00,0,0,0
VIT,20091229,12.87,12.87,11.98,11.98,1100,24.80,24.80,23.10,23.10,0,0,0
VIT,20091230,12.08,12.19,12.08,12.09,4200,23.30,23.50,23.30,23.30,0,0,0
VIT,20091231,12.61,12.61,12.61,12.60,100,24.30,24.30,24.30,24.30,0,0,0
VIT,20100104,12.96,13.48,12.96,13.49,51400,25.00,26.00,25.00,26.00,0,0,0
VIT,20100105,13.44,14.32,12.71,12.71,8500,25.90,27.60,24.50,24.50,0,0,0
VIT,20100106,13.44,13.44,12.50,12.50,4600,25.90,25.90,24.10,24.10,0,0,0
VIT,20100107,11.93,12.97,11.93,12.97,12400,23.00,25.00,23.00,25.00,0,0,0
VIT,20100108,12.45,12.71,11.88,11.88,14400,24.00,24.50,22.90,22.90,0,0,0
VIT,20100111,13.13,13.13,13.13,13.12,8000,25.30,25.30,25.30,25.30,0,0,0
VIT,20100112,14.00,14.00,14.00,14.00,51900,27.00,27.00,27.00,27.00,0,0,0
