<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
XMC,20071220,38.62,38.62,27.34,28.32,20700,75.00,75.00,53.10,55.00,0,0,0
XMC,20071221,29.86,29.86,27.34,27.34,24600,58.00,58.00,53.10,53.10,10000,0,0
XMC,20071224,29.86,29.86,27.55,27.81,5800,58.00,58.00,53.50,54.00,0,0,0
XMC,20071225,27.30,27.30,26.27,26.26,7000,53.00,53.00,51.00,51.00,0,0,0
XMC,20071226,27.29,27.80,27.29,27.55,19800,53.00,54.00,53.00,53.50,0,0,0
XMC,20071227,28.53,28.53,27.50,27.50,3000,55.40,55.40,53.40,53.40,0,0,0
XMC,20071228,26.78,26.78,25.23,25.75,3200,52.00,52.00,49.00,50.00,0,0,0
XMC,20080102,28.07,28.27,24.72,24.72,23000,54.50,54.90,48.00,48.00,0,0,0
XMC,20080103,24.72,25.90,24.20,24.66,13400,48.00,50.30,47.00,47.90,0,0,0
XMC,20080104,26.20,26.77,24.20,24.20,9600,50.90,52.00,47.00,47.00,0,0,0
XMC,20080107,26.77,26.77,22.86,22.86,9900,52.00,52.00,44.40,44.40,0,0,0
XMC,20080108,24.71,26.26,22.65,22.81,23000,48.00,51.00,44.00,44.30,16222,0,0
XMC,20080109,22.14,23.17,21.63,21.63,20800,43.00,45.00,42.00,42.00,0,0,0
XMC,20080110,22.66,22.92,20.24,21.11,10200,44.00,44.50,39.30,41.00,0,0,0
XMC,20080111,21.11,21.11,19.98,20.29,6200,41.00,41.00,38.80,39.40,0,0,0
XMC,20080114,20.60,20.86,18.38,18.38,6400,40.00,40.50,35.70,35.70,0,0,0
XMC,20080115,17.40,18.02,17.40,17.46,15800,33.80,35.00,33.80,33.90,0,0,0
XMC,20080116,17.51,19.26,17.51,19.26,20200,34.00,37.40,34.00,37.40,10000,0,0
XMC,20080117,20.08,20.60,17.51,19.31,34500,39.00,40.00,34.00,37.50,0,1000,0
XMC,20080118,19.98,20.34,18.54,19.15,13200,38.80,39.50,36.00,37.20,0,0,0
